timestamp,side,cluster_id,touch_count,width_atr,active_age,formation_delay,distance_atr,structural_score,tradeable_live_score,width_component,formation_delay_component,bars_since_touch,touches_since_detect,close_tests,max_pen_atr,far_edge_atr,inside_zone,signed_dist_atr,same_side_count_nearby,nearest_same_side_atr,touch_bucket,active_age_bucket,freshness_bucket,fwd_r_3,fwd_r_5,distance_at_detect_component
2014-07-02 21:00:00+00:00,eqh,4.0,2.0,0.04892890373350341,0.0,10.0,1.458358661076731,0.6136836529988023,0.3643347421601283,0.5126590527741913,0.16666666666666666,0.0,0.0,0.0,0.0,1.5072875648102344,0,1.4828231129435052,0,,2-touch,0_20,fresh,1.3628779663417043,1.3276174608171885,0.2916717322153462
2014-07-03 01:00:00+00:00,eqh,4.0,2.0,0.05019900197741335,1.0,10.0,1.7140825209610568,0.6129215940524564,0.3714230961404399,0.5000086389282528,0.16666666666666666,1.0,0.0,0.0,0.0,1.7642815229384703,0,1.7391820219497867,0,,2-touch,0_20,fresh,0.7824540794048289,0.9121178982776083,0.3428165041922114
2014-07-03 05:00:00+00:00,eqh,4.0,2.0,0.05090803031467774,2.0,10.0,1.9796422314669644,0.6124961770500977,0.3781090956644673,0.49294658531318747,0.16666666666666666,2.0,0.0,0.0,0.0,2.030550261781642,0,2.0050962466243267,0,,2-touch,0_20,fresh,0.9190239156805098,0.5970873029213593,0.39592844629339286
2014-07-03 09:00:00+00:00,eqh,4.0,2.0,0.04387794310588484,3.0,10.0,2.529998646614699,0.6167142293753735,0.38255913031164523,0.5629675565181327,0.16666666666666666,3.0,0.0,0.0,0.0,2.573876589720584,0,2.551937618167662,0,,2-touch,0_20,fresh,-0.2344894125495893,-0.6357860662992493,0.5059997293229398
2014-07-03 13:00:00+00:00,eqh,4.0,2.0,0.043598708344573724,4.0,10.0,2.168285559937629,0.6168817702321602,0.3742120361674784,0.5657487864802204,0.16666666666666666,4.0,0.0,0.0,0.0,2.211884268282203,0,2.190084914109936,0,,2-touch,0_20,fresh,0.0384798316563064,-0.13856269656066442,0.4336571119875258
2014-07-03 17:00:00+00:00,eqh,4.0,2.0,0.045564167026750466,5.0,10.0,2.594390465846308,0.6157024950228541,0.38585618214927814,0.5461724538257586,0.16666666666666666,5.0,0.0,0.0,0.0,2.6399546328730583,0,2.617172549359704,0,,2-touch,0_20,fresh,-0.6273835305989348,-0.3967956407875108,0.5188780931692616
2014-07-03 21:00:00+00:00,eqh,4.0,2.0,0.047341299762787746,6.0,10.0,2.4766974717998735,0.6146362153812317,0.3852075124300223,0.5284718824897741,0.16666666666666666,6.0,0.0,0.0,0.0,2.5240387715626613,0,2.5003681216812894,0,,2-touch,0_20,fresh,-0.27273955288432267,0.4582714483109175,0.4953394943599747
2014-07-04 01:00:00+00:00,eqh,4.0,2.0,0.050145293289123455,7.0,10.0,2.5381233064795103,0.6129538192654304,0.38967567487562166,0.5005435874153068,0.16666666666666666,7.0,0.0,0.0,0.0,2.5882685997686337,0,2.563195953124095,0,,2-touch,0_20,fresh,-0.11957723784324824,1.2148560123159358,0.5076246612959021
2014-07-04 05:00:00+00:00,eqh,4.0,2.0,0.05098495772302335,8.0,10.0,2.201022689070617,0.6124500206050904,0.383113795971327,0.4921803740721802,0.16666666666666666,8.0,0.0,0.0,0.0,2.2520076467936403,0,2.226515167932152,0,,2-touch,0_20,fresh,0.9598382729230571,1.744841488391058,0.4402045378141234
2014-07-04 09:00:00+00:00,eqh,4.0,2.0,0.05306337416936032,9.0,10.0,2.4703471237785437,0.6112029707372882,0.3913989403998865,0.47147896115673016,0.16666666666666666,9.0,0.0,0.0,0.0,2.523410497947904,0,2.4968788108632483,0,,2-touch,0_20,fresh,1.5010275114219365,1.732615840792595,0.49406942475570875
