event_idx,timestamp,event_type,event_side,event_direction,quality_score,tradeable_score,nearest_displacement_distance,displacement_same_bar,displacement_pm1,displacement_pm2
15308,2015-12-21 10:00:00+00:00,choch,bull,1.0,0.32321545405889135,0.5232154540588914,4.0,0,0,0
15357,2016-01-04 02:00:00+00:00,choch,bull,1.0,0.7411228571760518,1.0,15.0,0,0,0
15370,2016-01-06 06:00:00+00:00,choch,bull,1.0,0.380965455139608,0.5809654551396081,2.0,0,0,1
15431,2016-01-20 10:00:00+00:00,choch,bull,1.0,0.4925043863916332,0.6925043863916333,17.0,0,0,0
15469,2016-01-28 18:00:00+00:00,choch,bear,-1.0,0.23217449598617704,0.432174495986177,12.0,0,0,0
15524,2016-02-10 22:00:00+00:00,choch,bull,1.0,0.5320374445024585,0.8820374445024586,16.0,0,0,0
15576,2016-02-23 18:00:00+00:00,choch,bull,1.0,0.32682012485158085,0.5268201248515809,25.0,0,0,0
15593,2016-02-26 14:00:00+00:00,choch,bear,-1.0,0.37116727321881715,0.5711672732188172,19.0,0,0,0
15637,2016-03-08 22:00:00+00:00,choch,bear,-1.0,0.29873485341197015,0.49873485341197016,3.0,0,0,0
15658,2016-03-14 09:00:00+00:00,choch,bear,-1.0,0.5326250480763023,0.7326250480763024,8.0,0,0,0
15681,2016-03-18 05:00:00+00:00,choch,bear,-1.0,0.36426398644489916,0.5642639864448992,13.0,0,0,0
15718,2016-03-29 09:00:00+00:00,choch,bull,1.0,0.29394368874120724,0.5939436887412073,4.0,0,0,0
15745,2016-04-04 21:00:00+00:00,choch,bull,1.0,0.7267086332501155,1.0,29.0,0,0,0
15816,2016-04-20 17:00:00+00:00,choch,bear,-1.0,0.4626077558857471,0.6626077558857472,3.0,0,0,0
15819,2016-04-21 05:00:00+00:00,choch,bull,1.0,0.4255913321552406,0.6255913321552407,0.0,1,1,1
15827,2016-04-22 13:00:00+00:00,choch,bear,-1.0,0.761928053235437,1.0,8.0,0,0,0
15886,2016-05-06 09:00:00+00:00,choch,bull,1.0,0.388917794531208,0.5889177945312081,13.0,0,0,0
15901,2016-05-10 21:00:00+00:00,choch,bull,1.0,0.39707516816823996,0.84707516816824,2.0,0,0,1
