timestamp,side,event_id,cluster_id,detect_idx,level,width_atr,touch_count,width_component,formation_delay_component,structural_score,tradeable_live_score,score,formation_delay,last_member_origin_idx,distance_atr_at_detect
2019-02-11 02:00:00+00:00,eqh,186.0,1278.0,7144,1315.526,0.1969918549824419,3.0,0.7879674199297676,0.75,0.4941741477064582,0.4729876669909655,0.4729876669909655,45.0,7142.0,1.2638628236209104
2021-10-07 01:00:00+00:00,eqh,302.0,1957.0,11123,1764.965,0.190635083875802,3.0,0.762540335503208,0.4166666666666667,0.6608497141058369,0.48149954134342204,0.48149954134342204,25.0,11121.0,0.6532428874143986
2021-03-24 05:00:00+00:00,eql,277.0,1825.0,10409,1723.683,0.18731801121941113,3.0,0.7492720448776445,0.43333333333333335,0.5623066351603119,0.4500593343260912,0.4500593343260912,26.0,10407.0,1.2224964942740735
2022-04-07 21:00:00+00:00,eqh,322.0,2086.0,11902,1937.655,0.17226031458964378,3.0,0.6890412583585751,0.6,0.5592249933091714,0.4550633999832863,0.4550633999832863,36.0,11900.0,0.40423049282542517
2015-08-07 17:00:00+00:00,eql,49.0,298.0,1734,1081.189,0.1590641352793888,3.0,0.6362565411175553,0.6166666666666667,0.6678948521657001,0.5725863343486142,0.5725863343486142,37.0,1732.0,2.1451191576943685
2024-01-29 18:00:00+00:00,eqh,389.0,2576.0,14695,2037.605,0.13912052800178212,3.0,0.5564821120071285,0.4166666666666667,0.6274147958445078,0.2324878057029629,0.2324878057029629,25.0,14693.0,0.4957957911504091
2014-11-14 18:00:00+00:00,eql,14.0,114.0,617,1146.639,0.12491811680774491,3.0,0.49967246723097963,0.36666666666666664,0.638179413003239,0.34900358091626915,0.34900358091626915,22.0,615.0,4.096897506837592
2025-02-21 14:00:00+00:00,eql,426.0,2851.0,16350,2917.7225,0.11958390466712517,2.0,0.47833561866850066,0.15,0.551271673193885,0.42930246668632904,0.42930246668632904,9.0,16348.0,1.385153075585672
2016-08-14 21:00:00+00:00,eql,83.0,585.0,3305,1331.462,0.11951292880165688,2.0,0.47805171520662754,0.4666666666666667,0.5248284161087202,0.3073624351589136,0.3073624351589136,28.0,3303.0,3.6448816626735523
2025-05-13 13:00:00+00:00,eqh,436.0,2897.0,16686,3267.4925000000003,0.11907607201582805,2.0,0.4763042880633122,0.6833333333333333,0.4929812314682057,0.527018663348902,0.527018663348902,41.0,16684.0,0.4854639859106405
2020-01-24 02:00:00+00:00,eqh,228.0,1528.0,8614,1568.2024999999999,0.11882672712062056,2.0,0.47530690848248225,0.26666666666666666,0.5017586426717915,0.21214077198321046,0.21214077198321046,16.0,8612.0,1.2410418006485584
2025-03-05 22:00:00+00:00,eqh,428.0,2858.0,16400,2928.9425,0.11856434342204426,2.0,0.47425737368817705,0.11666666666666667,0.5629562955893991,0.28006554330064976,0.28006554330064976,7.0,16398.0,1.7549841933423718
2022-01-23 22:00:00+00:00,eqh,312.0,2039.0,11578,1843.5825,0.1184050185342152,2.0,0.4736200741368608,0.16666666666666666,0.5125270663969487,0.17035664150720306,0.17035664150720306,10.0,11576.0,0.941888509017973
2018-11-06 18:00:00+00:00,eqh,175.0,1212.0,6747,1236.092,0.11799223619255525,2.0,0.471968944770221,0.18333333333333332,0.5084387071610831,0.41151646953615395,0.41151646953615395,11.0,6745.0,2.3733552852466717
2015-05-08 17:00:00+00:00,eqh,39.0,233.0,1346,1193.092,0.11797544090999673,2.0,0.4719017636399869,0.38333333333333336,0.5432317259192745,0.45576724291142995,0.45576724291142995,23.0,1344.0,0.8505415961630808
2014-07-17 21:00:00+00:00,eqh,3.0,9.0,103,1324.3295,0.11781411494064134,2.0,0.47125645976256536,0.7166666666666667,0.5951448643689485,0.4244322813400023,0.4244322813400023,43.0,101.0,1.1380921268356936
2016-11-04 17:00:00+00:00,eqh,93.0,650.0,3663,1307.468,0.11749070942269475,2.0,0.469962837690779,0.16666666666666666,0.5334566635768873,0.17808327483622288,0.17808327483622288,10.0,3661.0,0.479575713916288
2025-06-26 21:00:00+00:00,eql,439.0,2945.0,16880,3311.035,0.11714623036741387,2.0,0.46858492146965547,0.1,0.5686801435382288,0.3427906888206429,0.3427906888206429,6.0,16878.0,0.38832848960737726
2016-08-16 17:00:00+00:00,eqh,84.0,587.0,3316,1357.5935,0.11712190503061932,2.0,0.4684876201224773,0.4,0.5678140798684258,0.3399936310461994,0.3399936310461994,24.0,3314.0,4.106951466923791
2022-12-13 02:00:00+00:00,eql,347.0,2272.0,12957,1777.9675,0.11708771037345767,2.0,0.46835084149383066,0.6,0.5674411969234482,0.5713650067860946,0.5713650067860946,36.0,12955.0,6.858461694221941
