event_type,score_variant,threshold,event_count,same_bar_count,same_bar_rate,pm1_count,pm1_rate,pm2_count,pm2_rate
bos,quality,0.5252334890964852,154,5,0.032467532467532464,13,0.08441558441558442,25,0.16233766233766234
bos,tradeable,0.7074334195881196,154,4,0.025974025974025976,8,0.05194805194805195,16,0.1038961038961039
choch,quality,0.5893099903796439,112,3,0.026785714285714284,6,0.05357142857142857,15,0.13392857142857142
choch,tradeable,0.87567963782589,112,3,0.026785714285714284,9,0.08035714285714286,16,0.14285714285714285
