row_idx,timestamp,number_of_active_obs,number_of_fresh_obs,best_active_ob_strength,best_fresh_ob_strength,nearest_active_bull_ob_distance_atr,nearest_active_bear_ob_distance_atr,nearest_fresh_bull_ob_distance_atr,nearest_fresh_bear_ob_distance_atr
80,2014-01-21 11:00:00+00:00,0,0,,,,,,
81,2014-01-21 15:00:00+00:00,0,0,,,,,,
82,2014-01-21 19:00:00+00:00,0,0,,,,,,
83,2014-01-21 23:00:00+00:00,0,0,,,,,,
84,2014-01-22 03:00:00+00:00,0,0,,,,,,
85,2014-01-22 07:00:00+00:00,0,0,,,,,,
86,2014-01-22 11:00:00+00:00,0,0,,,,,,
87,2014-01-22 15:00:00+00:00,0,0,,,,,,
88,2014-01-22 19:00:00+00:00,0,0,,,,,,
89,2014-01-22 23:00:00+00:00,0,0,,,,,,
90,2014-01-23 03:00:00+00:00,0,0,,,,,,
91,2014-01-23 07:00:00+00:00,0,0,,,,,,
92,2014-01-23 11:00:00+00:00,0,0,,,,,,
93,2014-01-23 15:00:00+00:00,0,0,,,,,,
94,2014-01-23 19:00:00+00:00,0,0,,,,,,
95,2014-01-23 23:00:00+00:00,0,0,,,,,,
96,2014-01-24 03:00:00+00:00,0,0,,,,,,
97,2014-01-24 07:00:00+00:00,0,0,,,,,,
98,2014-01-24 11:00:00+00:00,0,0,,,,,,
99,2014-01-24 15:00:00+00:00,0,0,,,,,,
100,2014-01-24 19:00:00+00:00,0,0,,,,,,
101,2014-01-26 23:00:00+00:00,0,0,,,,,,
102,2014-01-27 03:00:00+00:00,0,0,,,,,,
103,2014-01-27 07:00:00+00:00,0,0,,,,,,
104,2014-01-27 11:00:00+00:00,0,0,,,,,,
105,2014-01-27 15:00:00+00:00,0,0,,,,,,
106,2014-01-27 19:00:00+00:00,0,0,,,,,,
107,2014-01-27 23:00:00+00:00,0,0,,,,,,
108,2014-01-28 03:00:00+00:00,0,0,,,,,,
109,2014-01-28 07:00:00+00:00,0,0,,,,,,
110,2014-01-28 11:00:00+00:00,0,0,,,,,,
111,2014-01-28 15:00:00+00:00,0,0,,,,,,
112,2014-01-28 19:00:00+00:00,0,0,,,,,,
113,2014-01-28 23:00:00+00:00,0,0,,,,,,
114,2014-01-29 03:00:00+00:00,0,0,,,,,,
115,2014-01-29 07:00:00+00:00,0,0,,,,,,
116,2014-01-29 11:00:00+00:00,0,0,,,,,,
117,2014-01-29 15:00:00+00:00,0,0,,,,,,
118,2014-01-29 19:00:00+00:00,0,0,,,,,,
119,2014-01-29 23:00:00+00:00,0,0,,,,,,
120,2014-01-30 03:00:00+00:00,0,0,,,,,,
121,2014-01-30 07:00:00+00:00,0,0,,,,,,
122,2014-01-30 11:00:00+00:00,0,0,,,,,,
