ob_id,side_label,activate_idx,fresh_state_duration,touched_state_duration,partial_state_duration,post_full_pre_terminal_duration,total_live_duration,bars_to_invalidation,bars_to_retirement,terminal_state
86,bull,3870,6.0,0.0,1.0,0.0,7.0,,,mitigated_full
87,bear,3894,15.0,0.0,0.0,0.0,15.0,15.0,,invalidated
88,bull,4055,96.0,0.0,0.0,0.0,96.0,,96.0,retired
89,bear,4098,96.0,0.0,0.0,0.0,96.0,,96.0,retired
90,bear,4205,17.0,0.0,0.0,0.0,17.0,,,mitigated_full
91,bear,4248,96.0,0.0,0.0,0.0,96.0,,96.0,retired
92,bear,4359,96.0,0.0,0.0,0.0,96.0,,96.0,retired
93,bear,4371,6.0,0.0,49.0,0.0,55.0,55.0,,invalidated
94,bull,4482,33.0,0.0,2.0,0.0,35.0,,,mitigated_full
95,bear,4532,96.0,0.0,0.0,0.0,96.0,,96.0,retired
96,bear,4580,96.0,0.0,0.0,0.0,96.0,,96.0,retired
97,bull,4729,10.0,0.0,86.0,0.0,96.0,,96.0,retired
98,bull,4780,4.0,0.0,4.0,0.0,8.0,,,mitigated_full
99,bear,4811,1.0,0.0,1.0,0.0,2.0,,,mitigated_full
100,bull,4820,11.0,0.0,4.0,0.0,15.0,15.0,,invalidated
101,bull,4894,8.0,0.0,0.0,0.0,8.0,,,mitigated_full
102,bear,4947,1.0,0.0,1.0,0.0,2.0,2.0,,invalidated
103,bull,4960,30.0,0.0,0.0,0.0,30.0,,,mitigated_full
104,bear,5008,41.0,0.0,2.0,0.0,43.0,,,mitigated_full
105,bear,5013,34.0,0.0,0.0,0.0,34.0,,,mitigated_full
106,bull,5062,6.0,0.0,0.0,0.0,6.0,6.0,,invalidated
107,bull,5148,4.0,0.0,6.0,0.0,10.0,,,mitigated_full
108,bull,5172,23.0,0.0,15.0,0.0,38.0,38.0,,invalidated
109,bull,5313,96.0,0.0,0.0,0.0,96.0,,96.0,retired
110,bull,5324,1.0,0.0,0.0,0.0,1.0,1.0,,invalidated
111,bull,5372,1.0,0.0,1.0,0.0,2.0,2.0,,invalidated
112,bull,5403,15.0,0.0,0.0,0.0,15.0,15.0,,invalidated
113,bear,5418,96.0,0.0,0.0,0.0,96.0,,96.0,retired
114,bear,5424,19.0,0.0,0.0,0.0,19.0,19.0,,invalidated
115,bear,5436,2.0,0.0,0.0,0.0,2.0,,,mitigated_full
116,bull,5485,7.0,0.0,0.0,0.0,7.0,7.0,,invalidated
117,bear,5521,71.0,0.0,0.0,0.0,71.0,,,mitigated_full
118,bear,5553,2.0,0.0,0.0,0.0,2.0,,,mitigated_full
119,bull,5733,2.0,0.0,0.0,0.0,2.0,,,mitigated_full
120,bull,5821,9.0,0.0,4.0,0.0,13.0,,,mitigated_full
121,bear,5863,96.0,0.0,0.0,0.0,96.0,,96.0,retired
122,bull,6094,13.0,0.0,10.0,0.0,23.0,,,mitigated_full
123,bear,6117,2.0,0.0,0.0,0.0,2.0,2.0,,invalidated
124,bear,6206,79.0,0.0,2.0,0.0,81.0,81.0,,invalidated
125,bear,6216,45.0,0.0,3.0,0.0,48.0,,,mitigated_full
126,bear,6232,12.0,0.0,0.0,0.0,12.0,12.0,,invalidated
127,bull,6295,1.0,0.0,95.0,0.0,96.0,,96.0,retired
128,bull,6312,96.0,0.0,0.0,0.0,96.0,,96.0,retired
129,bull,6405,25.0,0.0,22.0,0.0,47.0,,,mitigated_full
130,bear,6470,14.0,0.0,8.0,0.0,22.0,,,mitigated_full
131,bull,6484,69.0,0.0,10.0,0.0,79.0,79.0,,invalidated
132,bull,6496,3.0,0.0,0.0,0.0,3.0,,,mitigated_full
133,bull,6500,23.0,0.0,0.0,0.0,23.0,23.0,,invalidated
134,bull,6582,13.0,0.0,2.0,0.0,15.0,,,mitigated_full
135,bear,6632,8.0,0.0,11.0,0.0,19.0,19.0,,invalidated
136,bull,6660,22.0,0.0,1.0,0.0,23.0,,,mitigated_full
137,bull,6670,6.0,0.0,0.0,0.0,6.0,6.0,,invalidated
138,bull,6727,3.0,0.0,58.0,0.0,61.0,61.0,,invalidated
