eqhl_event_id,detect_idx,side,direction,structural_score,tradeable_live_score,realized_r,exit_reason,exit_idx,timestamp,cluster_id,level,width_atr,touch_count,width_component,formation_delay_component,structural_score_detect,tradeable_live_score_detect,score,formation_delay,last_member_origin_idx,distance_atr_at_detect,trend_aligned,prior_bos_distance_atr,prior_choch_distance_atr,swing_magnitude_atr,wick_ratio,atr_percentile,same_side_clusters_nearby_at_detect,touch_bucket,formation_delay_bucket,wick_ratio_component,atr_percentile_component,distance_at_detect_component,structural_score_quartile,subperiod
445,17046,eql,1,0.5342768194940083,0.8158803869672413,-1.0,stop,17049,2025-08-05 17:00:00+00:00,2968.0,3350.635,0.09699010228814274,2.0,0.03396060990702421,0.7833333333333333,0.5342768194940083,0.708952492678011,0.708952492678011,47.0,17044.0,1.9248304192348307,1.0,0.9210805015952798,0.6896712306997919,1.0245937955644995,0.9519765739329226,0.38,1.0,2-touch,26_50,0.9519765739329226,0.38,0.3849660838469661,Q1,second_half
134,5194,eqh,-1,0.49692933231223424,0.7805020279162165,1.5806044058350606,time,5199,2017-11-02 21:00:00+00:00,930.0,1283.8615,0.10215643067055158,2.0,0.0,0.7666666666666667,0.49692933231223424,0.6035881980021084,0.6035881980021084,46.0,5192.0,8.091039999734559,0.0,2.7572835382519045,1.3164391571992657,0.54096947948322,0.7384337860702709,0.72,1.0,2-touch,26_50,0.7384337860702709,0.72,1.0,Q1,first_half
347,12957,eql,1,0.5674411969234482,0.7412891236260117,3.3059289845109867,time,12962,2022-12-13 02:00:00+00:00,2272.0,1777.9675,0.11708771037345767,2.0,0.0,0.6,0.5674411969234482,0.5713650067860946,0.5713650067860946,36.0,12955.0,6.858461694221941,0.0,3.466515760470113,3.70461590893904,0.4185252048792279,0.6804577464668873,0.02,1.0,2-touch,26_50,0.6804577464668873,0.02,1.0,Q2,second_half
227,8609,eqh,-1,0.5145002097138018,0.7302721477848453,-1.0,stop,8611,2020-01-23 06:00:00+00:00,1522.0,1563.3215,0.1125660543239207,2.0,0.0,0.8,0.5145002097138018,0.6355607291576189,0.6355607291576189,48.0,8607.0,1.5193815652969425,1.0,18.95853443899144,15.461355158045972,0.7817070996436529,0.6995922905726341,0.16,1.0,2-touch,26_50,0.6995922905726341,0.16,0.3038763130593885,Q1,first_half
33,1065,eqh,-1,0.49896768186365603,0.7212695396601452,0.9362319491625432,time,1070,2015-03-03 22:00:00+00:00,183.0,1215.034,0.08469298247808354,2.0,0.15644220174943357,0.7166666666666667,0.49896768186365603,0.5540795913166527,0.5540795913166527,43.0,1063.0,11.253363993249302,1.0,2.465746882725186,7.327095269830534,0.44643892053354167,0.6451051596259256,0.52,0.0,2-touch,26_50,0.6451051596259256,0.52,1.0,Q1,first_half
50,1735,eqh,-1,0.5194227823797285,0.7101146624818361,-1.0,stop,1739,2015-08-09 21:00:00+00:00,292.0,1099.4195,0.03788422416733822,2.0,0.622666107722673,0.75,0.5194227823797285,0.6376110260586755,0.6376110260586755,45.0,1733.0,2.1410930902629355,0.0,7.710164674981357,11.491155258269139,0.34509174453782543,0.8444227005733173,0.24,2.0,2-touch,26_50,0.8444227005733173,0.24,0.4282186180525871,Q1,first_half
16,674,eql,1,0.5248323552390332,0.7055742411940634,-1.0,stop,675,2014-11-28 10:00:00+00:00,120.0,1181.5085,0.02291772773691566,2.0,0.7717351853128886,0.8166666666666667,0.5248323552390332,0.5843481540420218,0.5843481540420218,49.0,672.0,4.7784192195432365,0.0,1.865459245949395,3.0215637279650633,0.37445384368537216,0.6646341463288037,0.22,1.0,2-touch,26_50,0.6646341463288037,0.22,0.9556838439086472,Q1,first_half
308,11392,eql,1,0.5117720020448645,0.7027680982792258,-1.0,stop,11395,2021-12-08 22:00:00+00:00,2001.0,1779.9175,0.11520003867986982,2.0,0.0,0.8,0.5117720020448645,0.6308156784877372,0.6308156784877372,48.0,11390.0,0.5504768315361217,1.0,12.487477246720081,1.064738082050124,0.2610267356294354,0.6642335766302307,0.02,1.0,2-touch,26_50,0.6642335766302307,0.02,0.11009536630722434,Q1,second_half
328,12082,eql,1,0.5448957914794512,0.6999765880747038,0.10282263801178915,time,12087,2022-05-22 21:00:00+00:00,2112.0,1832.005,0.03306858709926592,2.0,0.670630745210414,0.7666666666666667,0.5448957914794512,0.57533643868606,0.57533643868606,46.0,12080.0,4.633219070612136,1.0,1.7815701299732833,0.7574773232427267,0.4205977182557598,0.6496503496458061,0.06,1.0,2-touch,26_50,0.6496503496458061,0.06,0.9266438141224272,Q1,second_half
218,8262,eql,1,0.5735683522277506,0.6840027557377123,2.3212553933647544,time,8267,2019-10-31 01:00:00+00:00,1459.0,1480.9205000000002,0.04779265808362957,2.0,0.5239762699819734,0.6833333333333333,0.5735683522277506,0.5685558456653098,0.5685558456653098,41.0,8260.0,3.769534032145898,0.0,2.6970632047750587,2.5399023291292684,1.0250618167448466,0.7788840757692014,0.7,2.0,2-touch,26_50,0.7788840757692014,0.7,0.7539068064291796,Q2,first_half
156,6105,eql,1,0.607035135292441,0.6660701200587313,-0.7153946724679706,time,6110,2018-06-08 09:00:00+00:00,1093.0,1291.5495,0.04401330708564443,2.0,0.5616193061981254,0.7666666666666667,0.607035135292441,0.6007584576767162,0.6007584576767162,46.0,6103.0,1.6353917454422167,0.0,1.500615861852861,2.3116502610691354,0.7956985021322132,0.7169062964680755,0.16,1.0,2-touch,26_50,0.7169062964680755,0.16,0.32707834908844335,Q3,first_half
350,13005,eql,1,0.5879099823108518,0.6641878268341606,1.1936146439461943,time,13010,2022-12-23 02:00:00+00:00,2284.0,1784.1999999999998,0.11123290588746784,2.0,0.0,0.3,0.5879099823108518,0.4917107192873009,0.4917107192873009,18.0,13003.0,7.552836543720897,1.0,2.4770712503399386,4.223183404847954,0.8841005230924096,0.7593401261449843,0.16,1.0,2-touch,11_25,0.7593401261449843,0.16,1.0,Q3,second_half
72,2927,eql,1,0.5206667302744349,0.6632393173319568,-1.0,stop,2932,2016-05-17 13:00:00+00:00,511.0,1268.5465,0.06369988602261735,2.0,0.3655373322582388,0.7666666666666667,0.5206667302744349,0.5099384271756395,0.5099384271756395,46.0,2925.0,6.258805705477018,1.0,2.049748165406035,2.3177806797089837,0.2301242985971404,0.5099117680702427,0.5,0.0,2-touch,26_50,0.5099117680702427,0.5,1.0,Q1,first_half
7,289,eqh,-1,0.6120359565303723,0.6617617450872804,0.5698012639781385,time,294,2014-08-31 21:00:00+00:00,50.0,1291.0915,0.07680921038425058,2.0,0.23496603258871196,0.3333333333333333,0.6120359565303723,0.5001431911948653,0.5001431911948653,20.0,287.0,8.568671407703253,0.0,0.0023931653087293256,1.0202861432792518,0.04338336627644068,0.777377639535496,0.06,1.0,2-touch,11_25,0.777377639535496,0.06,1.0,Q3,first_half
49,1734,eql,1,0.6678948521657001,0.6605460652553502,2.043929204968632,time,1739,2015-08-07 17:00:00+00:00,298.0,1081.189,0.1590641352793888,3.0,0.0,0.6166666666666667,0.6678948521657001,0.5725863343486142,0.5725863343486142,37.0,1732.0,2.1451191576943685,0.0,22.856347971988143,17.508737557335383,1.1122573408324647,0.6559687873597936,0.26,1.0,3-touch+,26_50,0.6559687873597936,0.26,0.4290238315388737,Q4,first_half
178,6849,eqh,-1,0.5508131622598863,0.657035655796456,0.8863642041143205,time,6854,2018-11-29 22:00:00+00:00,1223.0,1228.8339999999998,0.048510117060381816,2.0,0.5168302456354954,0.7,0.5508131622598863,0.5474487132137347,0.5474487132137347,42.0,6847.0,3.4869283056560443,0.0,2.4666339957445502,7.467130682072927,0.1825661231094938,0.6865044247635399,0.54,1.0,2-touch,26_50,0.6865044247635399,0.54,0.6973856611312088,Q1,first_half
