eqhl_event_id,detect_idx,side,direction,structural_score,tradeable_live_score,realized_r,exit_reason,exit_idx,timestamp,cluster_id,level,width_atr,touch_count,width_component,formation_delay_component,structural_score_detect,tradeable_live_score_detect,score,formation_delay,last_member_origin_idx,distance_atr_at_detect,trend_aligned,prior_bos_distance_atr,prior_choch_distance_atr,swing_magnitude_atr,wick_ratio,atr_percentile,same_side_clusters_nearby_at_detect,touch_bucket,formation_delay_bucket,wick_ratio_component,atr_percentile_component,distance_at_detect_component,structural_score_quartile,subperiod
88,3409,eqh,-1,0.7143424471139536,0.2651336090064705,0.300985138703148,time,3414,2016-09-07 09:00:00+00:00,605.0,1352.404,0.030262588143410603,2.0,0.6985790147344826,0.05,0.7143424471139536,0.23337666216515485,0.23337666216515485,3.0,3407.0,0.5357936539360818,0.0,7.8961655437001514,0.2986151769810492,0.02998994546082172,0.4678922185730002,0.62,2.0,2-touch,0_10,0.4678922185730002,0.62,0.10715873078721636,Q4,first_half
383,14440,eqh,-1,0.7098989166242012,0.3458181437491408,-1.0,stop,14442,2023-11-28 06:00:00+00:00,2537.0,2018.2325,0.029335138959664483,2.0,0.7078165804517204,0.1,0.7098989166242012,0.31925897728696706,0.31925897728696706,6.0,14438.0,0.33933620202001863,0.0,11.691638558616766,7.1050499401922025,0.2505486548078781,0.5749464667971383,0.12,1.0,2-touch,0_10,0.5749464667971383,0.12,0.06786724040400373,Q4,second_half
306,11285,eqh,-1,0.7074952764452676,0.3761241901656018,-1.0,stop,11287,2021-11-15 02:00:00+00:00,1987.0,1868.5475,0.013896761480109723,2.0,0.8615856807261666,0.21666666666666667,0.7074952764452676,0.3432015030620055,0.3432015030620055,13.0,11283.0,1.0722741158052642,0.0,15.623017191168945,8.481749401770145,0.2976354412988873,0.6434995911587228,0.74,1.0,2-touch,11_25,0.6434995911587228,0.74,0.21445482316105285,Q4,second_half
246,9409,eqh,-1,0.7026427941536868,0.26916812101976423,-0.381962358299928,time,9414,2020-07-30 01:00:00+00:00,1662.0,1980.6934999999999,0.027539787521633097,2.0,0.725698613435311,0.18333333333333332,0.7026427941536868,0.22247766565960353,0.22247766565960353,11.0,9407.0,1.2828322920073225,0.0,16.946738703057147,13.336011655721892,0.9317796851254839,0.35475578406049274,0.8,1.0,2-touch,11_25,0.35475578406049274,0.8,0.2565664584014645,Q4,second_half
384,14486,eql,1,0.7016329677233379,0.35779758687765295,-1.0,stop,14489,2023-12-07 22:00:00+00:00,2542.0,2020.1825,0.00977838712777016,2.0,0.9026054523693504,0.3,0.7016329677233379,0.32635259550080464,0.32635259550080464,18.0,14484.0,1.131033444447688,1.0,1.1675859868063023,1.4711816252500771,0.3676261761852082,0.5018791558224828,0.52,1.0,2-touch,11_25,0.5018791558224828,0.52,0.2262066888895376,Q4,second_half
131,5022,eql,1,0.697733278077741,0.3353545085130112,3.1106542261774206,time,5027,2017-09-25 05:00:00+00:00,904.0,1287.937,0.03418087930372256,2.0,0.6595521087573228,0.15,0.697733278077741,0.28220937184086003,0.28220937184086003,9.0,5020.0,1.3854908690485113,0.0,10.93943505351341,6.918520706333627,1.0379549383085942,0.46304128901849173,0.34,1.0,2-touch,0_10,0.46304128901849173,0.34,0.27709817380970225,Q4,first_half
90,3528,eql,1,0.6928616244451739,0.2247893709232447,-1.0,stop,3530,2016-10-05 05:00:00+00:00,629.0,1266.5435,0.062349134181605995,2.0,0.37899107087561834,0.03333333333333333,0.6928616244451739,0.16020985145384892,0.16020985145384892,2.0,3526.0,1.049372604237266,0.0,11.579847959815755,7.530528426451149,0.05803271474072582,0.30063453952496205,0.92,1.0,2-touch,0_10,0.30063453952496205,0.92,0.2098745208474532,Q4,first_half
230,8811,eql,1,0.6928043914492558,0.3301870588113908,-1.0,stop,8814,2020-03-11 01:00:00+00:00,1564.0,1640.828,0.031225816095349527,2.0,0.688985085856594,0.21666666666666667,0.6928043914492558,0.2837791112701754,0.2837791112701754,13.0,8809.0,1.1661069417291494,0.0,2.8032318712994817,0.6402436102333415,0.46622108353006125,0.4364134933752233,0.5,1.0,2-touch,11_25,0.4364134933752233,0.5,0.2332213883458299,Q4,first_half
29,1035,eql,1,0.692391368733768,0.3257308805482601,-1.0,stop,1040,2015-02-24 22:00:00+00:00,184.0,1189.6750000000002,0.024150083240283133,2.0,0.7594606961561081,0.13333333333333333,0.692391368733768,0.2506665217644439,0.2506665217644439,8.0,1033.0,2.6590029150270578,0.0,14.094986082469775,0.6805335956569689,0.6254494894924841,0.49692515373858215,0.96,1.0,2-touch,0_10,0.49692515373858215,0.96,0.5318005830054116,Q4,first_half
69,2805,eql,1,0.6920184154075667,0.47453954368408285,0.5359010051226395,time,2810,2016-04-19 05:00:00+00:00,492.0,1226.598,0.025802640987388853,2.0,0.7430009147923906,0.3,0.6920184154075667,0.4060964791703378,0.4060964791703378,18.0,2803.0,2.3167085515103327,1.0,2.1270166084272755,1.4361579846276284,0.48264946107531587,0.7058614564705915,0.64,2.0,2-touch,11_25,0.7058614564705915,0.64,0.46334171030206656,Q4,first_half
