timestamp,open,high,low,close,displacement_flag,displacement_bull,displacement_bear,displacement_direction,displacement_body_atr,displacement_range_atr,displacement_body_frac,displacement_close_to_extreme_frac,displacement_opposite_wick_frac,displacement_score,displacement_pass_valid_inputs,displacement_pass_body_atr,displacement_pass_body_frac,displacement_pass_close_to_extreme,displacement_pass_opposite_wick
2014-06-24 13:00:00+00:00,1320.221,1321.106,1316.52,1319.058,0,0,0,-1,,,0.25359790667248316,0.5534234627126045,0.19297863061491244,0.0,0,0,0,0,1
2014-06-24 17:00:00+00:00,1319.1,1321.456,1317.031,1318.176,0,0,0,-1,,,0.2088135593220311,0.2587570621468912,0.5324293785310776,0.0,0,0,0,0,0
2014-06-24 21:00:00+00:00,1318.133,1319.622,1315.433,1316.31,0,0,0,-1,,,0.4351873955598135,0.20935784196704138,0.3554547624731451,0.0,0,0,0,0,0
2014-06-25 01:00:00+00:00,1316.266,1316.266,1305.566,1312.114,0,0,0,-1,,,0.3880373831775725,0.6119626168224275,0.0,0.0,0,0,0,0,1
2014-06-25 05:00:00+00:00,1312.116,1315.443,1311.61,1312.73,0,0,0,1,,,0.16018784242108514,0.7078006783198294,0.13201147925908543,0.0,0,0,0,0,1
2014-06-25 09:00:00+00:00,1312.727,1320.88,1311.78,1317.585,0,0,0,1,,,0.5338461538461401,0.36208791208791463,0.1040659340659453,0.0,0,0,0,0,1
2014-06-25 13:00:00+00:00,1317.586,1324.868,1316.552,1320.506,0,0,0,1,,,0.35113035113035856,0.5245310245310049,0.12433862433863656,0.0,0,0,0,0,1
2014-06-25 17:00:00+00:00,1320.552,1320.965,1317.088,1317.558,0,0,0,-1,,,0.7722465824090665,0.12122775341759943,0.106525664173334,0.0,0,0,1,1,1
2014-06-25 21:00:00+00:00,1317.071,1319.85,1316.885,1318.121,0,0,0,1,,,0.35413153457005425,0.5831365935918591,0.06273187183808665,0.0,0,0,0,0,1
2014-06-26 01:00:00+00:00,1318.11,1318.347,1315.307,1317.271,0,0,0,-1,,,0.2759868421052473,0.646052631578936,0.07796052631581674,0.0,0,0,0,0,1
2014-06-26 05:00:00+00:00,1317.285,1317.576,1307.166,1310.367,0,0,0,-1,,,0.6645533141210438,0.30749279538904867,0.027953890489907558,0.0,0,0,1,0,1
2014-06-26 09:00:00+00:00,1310.41,1318.562,1306.07,1313.894,0,0,0,1,,,0.2788984950368183,0.3736791546589743,0.3474223503042074,0.0,0,0,0,0,0
2014-06-26 13:00:00+00:00,1313.899,1316.799,1311.014,1315.604,0,0,0,1,,,0.294727744165969,0.20656871218667577,0.49870354364735525,0.0,0,0,0,0,0
2015-12-31 22:00:00+00:00,1060.464,1060.464,1060.464,1060.464,0,0,0,0,0.0,0.0,,,,0.0,0,0,0,0,0
2016-01-01 14:00:00+00:00,1060.464,1060.464,1060.464,1060.464,0,0,0,0,0.0,0.0,,,,0.0,0,0,0,0,0
2016-01-18 18:00:00+00:00,1088.738,1088.738,1088.738,1088.738,0,0,0,0,0.0,0.0,,,,0.0,0,0,0,0,0
2021-08-09 17:00:00+00:00,1741.53,1741.53,1741.53,1741.53,0,0,0,0,0.0,0.0,,,,0.0,0,0,0,0,0
2021-08-09 21:00:00+00:00,1730.275,1730.275,1730.275,1730.275,0,0,0,0,0.0,0.0,,,,0.0,0,0,0,0,0
2021-08-10 01:00:00+00:00,1730.275,1736.065,1730.275,1730.275,0,0,0,0,0.0,0.49911015676275694,0.0,,,0.0,0,0,0,0,0
2021-08-27 17:00:00+00:00,1816.795,1819.105,1815.115,1816.795,0,0,0,0,0.0,0.4580374349762259,0.0,,,0.0,0,0,0,0,0
