row_idx,timestamp,active_ob_count,fresh_ob_count,nearest_active_distance_atr,nearest_fresh_distance_atr,best_active_monitorability_score,best_fresh_monitorability_score,top_k_active_ids_by_monitorability,top_k_fresh_ids_by_monitorability,active_bull_count,active_bear_count,fresh_bull_count,fresh_bear_count,nearest_monitorable_bull_ob_distance_atr,nearest_monitorable_bear_ob_distance_atr,best_bull_ob_score,best_bear_ob_score,any_monitorable_ob_within_1atr,any_monitorable_ob_within_2atr
56,2014-01-15 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
57,2014-01-15 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
58,2014-01-15 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
59,2014-01-15 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
60,2014-01-15 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
61,2014-01-16 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
62,2014-01-16 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
63,2014-01-16 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
64,2014-01-16 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
65,2014-01-16 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
66,2014-01-16 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
67,2014-01-17 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
68,2014-01-17 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
69,2014-01-17 11:00:00+00:00,1,1,0.7948925376940578,0.7948925376940578,0.7033615107803417,0.7033615107803417,1,1,1,0,1,0,0.7948925376940578,,0.7033615107803417,,1,1
70,2014-01-17 15:00:00+00:00,1,1,1.3647749385612982,1.3647749385612982,0.6525987231629148,0.6525987231629148,1,1,1,0,1,0,1.3647749385612982,,0.6525987231629148,,0,1
71,2014-01-17 19:00:00+00:00,1,1,1.5432209154139365,1.5432209154139365,0.6284220296993381,0.6284220296993381,1,1,1,0,1,0,1.5432209154139365,,0.6284220296993381,,0,1
72,2014-01-19 23:00:00+00:00,1,1,1.978086954227598,1.978086954227598,0.5977234455121716,0.5977234455121716,1,1,1,0,1,0,1.978086954227598,,0.5977234455121716,,0,1
73,2014-01-20 03:00:00+00:00,1,1,2.163462321217335,2.163462321217335,0.5768517163041039,0.5768517163041039,1,1,1,0,1,0,2.163462321217335,,0.5768517163041039,,0,0
74,2014-01-20 07:00:00+00:00,1,1,1.90038097384138,1.90038097384138,0.5684382029806536,0.5684382029806536,1,1,1,0,1,0,1.90038097384138,,0.5684382029806536,,0,1
75,2014-01-20 11:00:00+00:00,1,1,2.087200657416632,2.087200657416632,0.5479911593326869,0.5479911593326869,1,1,1,0,1,0,2.087200657416632,,0.5479911593326869,,0,0
76,2014-01-20 15:00:00+00:00,1,1,2.000496596866617,2.000496596866617,0.5354320204847797,0.5354320204847797,1,1,1,0,1,0,2.000496596866617,,0.5354320204847797,,0,0
77,2014-01-20 23:00:00+00:00,1,1,1.6505774464498453,1.6505774464498453,0.531846261807194,0.531846261807194,1,1,1,0,1,0,1.6505774464498453,,0.531846261807194,,0,1
78,2014-01-21 03:00:00+00:00,1,1,1.72996168008594,1.72996168008594,0.5148152002960108,0.5148152002960108,1,1,1,0,1,0,1.72996168008594,,0.5148152002960108,,0,1
79,2014-01-21 07:00:00+00:00,1,1,0.7248910233848608,0.7248910233848608,0.5541680209484932,0.5541680209484932,1,1,1,0,1,0,0.7248910233848608,,0.5541680209484932,,1,1
80,2014-01-21 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
81,2014-01-21 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
82,2014-01-21 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
83,2014-01-21 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
84,2014-01-22 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
85,2014-01-22 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
86,2014-01-22 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
87,2014-01-22 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
88,2014-01-22 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
89,2014-01-22 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
90,2014-01-23 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
91,2014-01-23 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
92,2014-01-23 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
93,2014-01-23 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
94,2014-01-23 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
95,2014-01-23 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
96,2014-01-24 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
97,2014-01-24 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
98,2014-01-24 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
99,2014-01-24 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
100,2014-01-24 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
101,2014-01-26 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
102,2014-01-27 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
103,2014-01-27 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
104,2014-01-27 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
105,2014-01-27 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
106,2014-01-27 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
107,2014-01-27 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
108,2014-01-28 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
109,2014-01-28 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
110,2014-01-28 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
111,2014-01-28 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
112,2014-01-28 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
113,2014-01-28 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
114,2014-01-29 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
115,2014-01-29 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
116,2014-01-29 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
117,2014-01-29 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
118,2014-01-29 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
119,2014-01-29 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
120,2014-01-30 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
121,2014-01-30 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
122,2014-01-30 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
123,2014-01-30 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
124,2014-01-30 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
125,2014-01-30 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
126,2014-01-31 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
127,2014-01-31 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
128,2014-01-31 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
129,2014-01-31 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
130,2014-01-31 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
131,2014-02-02 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
132,2014-02-03 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
133,2014-02-03 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
134,2014-02-03 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
135,2014-02-03 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
136,2014-02-03 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
137,2014-02-03 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
138,2014-02-04 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
139,2014-02-04 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
140,2014-02-04 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
141,2014-02-04 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
142,2014-02-04 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
143,2014-02-04 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
144,2014-02-05 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
145,2014-02-05 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
146,2014-02-05 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
147,2014-02-05 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
148,2014-02-05 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
149,2014-02-05 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
150,2014-02-06 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
151,2014-02-06 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
152,2014-02-06 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
153,2014-02-06 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
154,2014-02-06 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
155,2014-02-06 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
156,2014-02-07 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
157,2014-02-07 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
158,2014-02-07 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
159,2014-02-07 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
160,2014-02-07 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
161,2014-02-09 23:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
162,2014-02-10 03:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
163,2014-02-10 07:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
164,2014-02-10 11:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
165,2014-02-10 15:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
166,2014-02-10 19:00:00+00:00,0,0,,,,,,,0,0,0,0,,,,,0,0
167,2014-02-10 23:00:00+00:00,1,1,1.785025305493574,1.785025305493574,0.759727019934164,0.759727019934164,2,2,1,0,1,0,1.785025305493574,,0.759727019934164,,0,1
168,2014-02-11 03:00:00+00:00,1,1,1.3672242121572151,1.3672242121572151,0.7664224056169506,0.7664224056169506,2,2,1,0,1,0,1.3672242121572151,,0.7664224056169506,,0,1
169,2014-02-11 07:00:00+00:00,1,1,1.4533076948937913,1.4533076948937913,0.7540070317922428,0.7540070317922428,2,2,1,0,1,0,1.4533076948937913,,0.7540070317922428,,0,1
170,2014-02-11 11:00:00+00:00,1,1,1.0141642788544702,1.0141642788544702,0.7679294455582877,0.7679294455582877,2,2,1,0,1,0,1.0141642788544702,,0.7679294455582877,,0,1
171,2014-02-11 15:00:00+00:00,2,2,0.7827509799736613,0.7827509799736613,0.7175570787130097,0.7175570787130097,"2,3","2,3",2,0,2,0,0.7827509799736613,,0.7175570787130097,,1,1
172,2014-02-11 19:00:00+00:00,2,2,0.8255811893953299,0.8255811893953299,0.7075460667081185,0.7075460667081185,"2,3","2,3",2,0,2,0,0.8255811893953299,,0.7075460667081185,,1,1
173,2014-02-11 23:00:00+00:00,2,2,0.22231575951782215,0.22231575951782215,0.7188235898763462,0.7188235898763462,"2,3","2,3",2,0,2,0,0.22231575951782215,,0.7188235898763462,,1,1
174,2014-02-12 03:00:00+00:00,2,1,0.4826220509885101,1.8562850636145294,0.7018672766058681,0.7018672766058681,"2,3",2,2,0,1,0,0.4826220509885101,,0.7018672766058681,,1,1
175,2014-02-12 07:00:00+00:00,2,1,0.4429476363998022,1.8705368339685722,0.694896677102941,0.694896677102941,"2,3",2,2,0,1,0,0.4429476363998022,,0.694896677102941,,1,1
176,2014-02-12 11:00:00+00:00,2,1,0.9568704508976942,2.393595816340507,0.6752339996250626,0.6752339996250626,"2,3",2,2,0,1,0,0.9568704508976942,,0.6752339996250626,,1,1
177,2014-02-12 15:00:00+00:00,2,1,1.5596578090474416,2.9930950769388542,0.6582156511864553,0.6582156511864553,"2,3",2,2,0,1,0,1.5596578090474416,,0.6582156511864553,,0,1
178,2014-02-12 19:00:00+00:00,2,1,1.080375164271531,2.5321392534106604,0.6606936540163272,0.6606936540163272,"2,3",2,2,0,1,0,1.080375164271531,,0.6606936540163272,,0,1
179,2014-02-12 23:00:00+00:00,2,1,1.233635490763806,2.7349652676045935,0.6514088233343848,0.6514088233343848,"2,3",2,2,0,1,0,1.233635490763806,,0.6514088233343848,,0,1
180,2014-02-13 03:00:00+00:00,2,1,0.91971703042385,2.4698248603832105,0.6513200759178345,0.6513200759178345,"2,3",2,2,0,1,0,0.91971703042385,,0.6513200759178345,,1,1
181,2014-02-13 07:00:00+00:00,2,1,1.3885343184199261,2.9325180288543744,0.6378642684200523,0.6378642684200523,"2,3",2,2,0,1,0,1.3885343184199261,,0.6378642684200523,,0,1
182,2014-02-13 11:00:00+00:00,2,1,1.9013547537093471,3.4225721726117198,0.6260541500176013,0.6260541500176013,"2,3",2,2,0,1,0,1.9013547537093471,,0.6260541500176013,,0,1
183,2014-02-13 15:00:00+00:00,3,2,1.4969230954189086,1.4969230954189086,0.6953372915558902,0.6953372915558902,"4,2,3","4,2",3,0,2,0,1.4969230954189086,,0.6953372915558902,,0,1
184,2014-02-13 19:00:00+00:00,3,2,1.7344747061433743,1.7344747061433743,0.6774915550801324,0.6774915550801324,"4,2,3","4,2",3,0,2,0,1.7344747061433743,,0.6774915550801324,,0,1
185,2014-02-13 23:00:00+00:00,3,2,2.184352786831089,2.184352786831089,0.6558655170612129,0.6558655170612129,"4,2,3","4,2",3,0,2,0,2.184352786831089,,0.6558655170612129,,0,0
186,2014-02-14 03:00:00+00:00,3,2,2.6155659148977075,2.6155659148977075,0.6382067911970514,0.6382067911970514,"4,2,3","4,2",3,0,2,0,2.6155659148977075,,0.6382067911970514,,0,0
187,2014-02-14 07:00:00+00:00,3,2,3.31830168256737,3.31830168256737,0.6190511373200268,0.6190511373200268,"4,2,3","4,2",3,0,2,0,3.31830168256737,,0.6190511373200268,,0,0
