timestamp,open,high,low,close,displacement_flag,displacement_bull,displacement_bear,displacement_direction,displacement_body_atr,displacement_range_atr,displacement_body_frac,displacement_close_to_extreme_frac,displacement_opposite_wick_frac,displacement_score,displacement_pass_valid_inputs,displacement_pass_body_atr,displacement_pass_body_frac,displacement_pass_close_to_extreme,displacement_pass_opposite_wick,near_miss_distance
2022-03-28 01:00:00+00:00,1957.56,1957.56,1941.535,1943.175,0,0,0,-1,1.34952143206345,1.5033771949125212,0.8976599063962629,0.10234009360373708,0.0,0.7036016343066173,1,0,1,1,1,0.000354494767814807
2017-01-22 22:00:00+00:00,1208.7,1217.897,1208.009,1217.796,0,0,0,1,1.3480298347124782,1.4654044641201485,0.919902912621367,0.010214401294486876,0.06988268608414609,0.7569188714732537,1,0,1,1,1,0.0014593816944606806
2024-06-18 13:00:00+00:00,2314.0,2330.8,2313.78,2330.3,0,0,0,1,1.3474057752490454,1.4069230855667776,0.9576968272620564,0.0293772032902468,0.012925969447696835,0.8039699917125749,1,0,1,1,1,0.0019216479636701637
2022-03-09 06:00:00+00:00,2047.865,2052.365,2014.555,2017.765,0,0,0,-1,1.347254701125084,1.6923488454996412,0.7960856916159781,0.08489817508595769,0.11901613329806417,0.5678442224254973,1,0,1,1,1,0.0020335547221601085
2022-02-09 14:00:00+00:00,1825.89,1835.715,1824.57,1833.995,0,0,0,1,1.3466754496616478,1.8517825893250373,0.7272319425751282,0.15432929564827547,0.1184387617765963,0.45569668706106203,1,0,1,1,1,0.0024626298802609835
2014-09-04 13:00:00+00:00,1272.215,1273.816,1264.697,1265.381,0,0,0,-1,1.344775720723893,1.7944117350426794,0.7494242789779281,0.07500822458604954,0.17556749643602235,0.5056614715929174,1,0,1,1,1,0.003869836500820018
2014-09-08 09:00:00+00:00,1266.68,1267.218,1259.157,1259.77,0,0,0,-1,1.3443143752566262,1.5682370736532179,0.8572137451928984,0.0760451556878855,0.0667410991192161,0.6535204857695891,1,0,1,1,1,0.004211573883980638
2021-06-17 05:00:00+00:00,1821.395,1821.395,1802.575,1804.565,0,0,0,-1,1.3440709869592198,1.5029956015788792,0.8942614240170024,0.10573857598299766,0.0,0.6969890114194728,1,0,1,1,1,0.004391861511689116
2015-02-26 06:00:00+00:00,1210.223,1219.644,1209.573,1218.988,0,0,0,1,1.3431916214416462,1.5433294717100454,0.8703207228676573,0.06513752358255931,0.06454175354978346,0.6740449373357181,1,0,1,1,1,0.005043243376558461
2014-11-19 18:00:00+00:00,1195.547,1198.957,1180.806,1182.333,0,0,0,-1,1.3430880182107172,1.8448910714804696,0.7280039667235906,0.08412759627568939,0.18786843700072003,0.47359115881815816,1,0,1,1,1,0.005119986510579906
2024-05-09 09:00:00+00:00,2310.495,2329.395,2306.65,2326.765,0,0,0,1,1.3429033579003506,1.8773409265791865,0.7153220488019372,0.115629808749181,0.1690481424488819,0.4482410364954385,1,0,1,1,1,0.005256771925666252
2024-08-29 13:00:00+00:00,2509.26,2526.755,2508.285,2525.33,0,0,0,1,1.3413225857092146,1.5416445649066575,0.8700595560367888,0.07715213860314901,0.05278830536006228,0.6703083720416402,1,0,1,1,1,0.006427714289470741
2016-05-29 21:00:00+00:00,1212.611,1213.354,1199.799,1202.528,0,0,0,-1,1.3956036622385848,1.8761685650742785,0.7438583548506114,0.20132792327554622,0.054813721873842466,0.47792191282396723,1,1,1,0,1,0.006639616377731028
2015-06-11 05:00:00+00:00,1186.791,1186.944,1179.13,1180.335,0,0,0,-1,1.3408861165403678,1.6229374403107792,0.8262093678013855,0.1542103916048055,0.019580240593808924,0.5906625061337774,1,0,1,1,1,0.006751024784912789
2018-07-19 05:00:00+00:00,1223.158,1224.186,1216.13,1217.229,0,0,0,-1,1.3407474519474436,1.8217340989861037,0.7359731876861964,0.1364200595829144,0.12760675273088926,0.4710076085622801,1,0,1,1,1,0.006853739298189989
2017-07-28 09:00:00+00:00,1259.173,1266.911,1258.094,1265.46,0,0,0,1,1.3406274495609674,1.8801196473324309,0.7130543268685527,0.16456844731768408,0.12237722581376319,0.4324330775270325,1,0,1,1,1,0.006942629954839062
2015-05-18 01:00:00+00:00,1221.845,1230.369,1221.845,1229.277,0,0,0,1,1.3402019667340792,1.537120770242346,0.871891130924462,0.12810886907553792,0.0,0.6598634810990668,1,0,1,1,1,0.0072578024192006515
2022-10-11 17:00:00+00:00,1680.66,1681.01,1663.695,1665.995,0,0,0,-1,1.339662483216468,1.5817426455433288,0.8469535085186338,0.13283280392722768,0.02021368755413849,0.6242853698746083,1,0,1,1,1,0.0076574198396533386
2016-05-04 13:00:00+00:00,1285.163,1285.163,1271.779,1273.49,0,0,0,-1,1.3393086671629013,1.5356212799887163,0.8721607890017924,0.12783921099820764,0.0,0.6601230155604929,1,0,1,1,1,0.007919505805258353
2018-06-25 01:00:00+00:00,1270.561,1270.738,1264.995,1265.237,0,0,0,-1,1.33922501885085,1.44462232968837,0.9270416158801477,0.042138255267313636,0.030820128852538656,0.7569926617885446,1,0,1,1,1,0.007981467517888878
