displacement_event_id,displacement_detect_ts,displacement_side,displacement_direction,displacement_body_atr,displacement_body_frac,displacement_close_to_extreme_frac,displacement_opposite_wick_frac,displacement_quality_score,displacement_follow_through_score,displacement_tradeable_score,displacement_failure_severity_score,displacement_mfe_5_atr,displacement_mae_5_atr,displacement_final_outcome_5,displacement_first_retest_delay
217,2018-12-20 06:00:00+00:00,bull,1,2.5727383206681598,0.9920119820269593,0.004243634548190891,0.0037443834248498315,0.9938841737393841,0.8746935593970859,0.9417382799646286,0.12530644060291413,2.050508263964828,0.7518386436174848,weak_continuation,
482,2023-09-20 13:00:00+00:00,bull,1,2.7230777722555763,0.9776876267748528,0.0033806626098684687,0.018931710615278798,0.9871534820824922,0.03241422970604508,0.6546528133524316,0.9711873513724044,0.14406324313797814,6.130691346872768,reversed,118.0
460,2023-05-16 13:00:00+00:00,bear,-1,2.33337008131033,0.97854421495889,0.00461199117706069,0.01684379386404932,0.9823473954605428,0.43653859912161097,0.785686581500346,0.17720820207463323,0.5498720478497683,0.5230956698675213,weak_continuation,709.0
172,2018-02-14 14:00:00+00:00,bull,1,2.911335243904838,0.9602935974531248,0.008754863813233591,0.03095153873364162,0.9757693668199455,0.7758492199007168,0.8310314780800528,0.014388217892030613,1.0677219457455436,0.08632930735218368,weak_continuation,21.0
468,2023-06-15 13:00:00+00:00,bull,1,2.458915245176327,0.9731443491234688,0.0251771726967533,0.0016784781797778991,0.9739835882133577,0.5011785347067326,0.7284768246479326,0.11855451931621847,0.7893221609180384,0.4585137089989569,weak_continuation,15.0
255,2019-08-01 13:00:00+00:00,bull,1,3.889003382095189,0.9664197388522191,0.027988354999567755,0.005591906148213186,0.9692156919263256,0.6500485402906403,0.8295800630857133,0.15923865057224987,1.1523875149461784,0.9554319034334993,weak_continuation,
161,2017-11-20 14:00:00+00:00,bear,-1,2.622407461934504,0.9481329322867077,0.012544934340844464,0.03932213337244783,0.9677939989729315,0.33061665287736863,0.6484041068220129,0.280041189271975,0.42631368597374636,0.9918235588003457,chop,6.0
499,2023-12-13 18:00:00+00:00,bull,1,3.9212440439488376,0.9415307923979636,0.0069581472634756445,0.05151106033856075,0.967286322567244,0.9003680139901197,0.892026664059581,0.046784458131533195,1.765122098318457,0.28070674878919916,strong_continuation,137.0
139,2017-05-17 09:00:00+00:00,bull,1,2.578011026577471,0.9366715758468334,0.005968529571350886,0.05735989458181577,0.9653515231377412,0.6478292320144294,0.8275092622134537,0.15086754918029344,1.1053190275321014,0.9052052950817606,weak_continuation,7.0
41,2015-05-13 09:00:00+00:00,bull,1,3.0788226418013434,0.9547912838015289,0.02567603045418938,0.019532685744281783,0.9645576266736697,0.8340356675983991,0.9167681997849927,0.006292871472371006,1.2903490625367557,0.03775722883422604,weak_continuation,36.0
486,2023-09-27 13:00:00+00:00,bear,-1,2.545825226107283,0.9524236983842105,0.024536205864742883,0.023040095751046683,0.9639437462597338,0.4479491744596664,0.7479484080613246,0.16848711470040353,0.6574515664027994,0.5998645678857805,weak_continuation,65.0
166,2017-12-29 14:00:00+00:00,bull,1,1.995891342917582,0.9705838876570813,0.011529933481149446,0.017886178861769325,0.9610632465020585,0.641220727379352,0.8569057155086995,0.20877927262064808,2.5311890363196197,1.2526756357238884,weak_continuation,1.0
137,2017-04-12 17:00:00+00:00,bull,1,2.2767056801119265,0.9586407491486887,0.027596481271275272,0.013762769580035989,0.9605193759038008,0.35612431701355407,0.7568772301114542,0.2532685892001839,0.37571624854952024,0.7704710334605278,chop,16.0
299,2020-08-04 13:00:00+00:00,bull,1,2.1051105426736987,0.956503568443378,0.015463254677561194,0.028033176879060782,0.958553724644692,0.9373483216637812,0.7711387754575185,0.06265167833621889,2.9826585566817805,0.3759100700173133,strong_continuation,28.0
329,2021-02-16 10:00:00+00:00,bear,-1,2.650277717092838,0.9323518385986472,0.016460484613023414,0.051187676788329375,0.957945676992812,0.5863860573908369,0.8182901746765985,0.25,1.2728269217370531,1.69868483694798,weak_continuation,1.0
420,2022-11-08 14:00:00+00:00,bull,1,3.7747544605110277,0.9553287981859403,0.04365079365079271,0.001020408163266958,0.9558390022675738,0.26054852231394354,0.6516494172878606,0.34368497277884436,0.1693398037115177,1.0653176011268874,chop,
46,2015-06-01 13:00:00+00:00,bear,-1,2.261933319080428,0.9615757810984003,0.038424218901599715,0.0,0.9556685552111859,0.3165273312431722,0.6892038823168521,0.29532632537010484,0.4741462645310848,1.140933469657931,chop,5.0
210,2018-11-14 14:00:00+00:00,bull,1,1.987341973194247,0.9656488549618226,0.016673362796320326,0.017677782241857027,0.9545941087003449,0.8826206998006791,0.923105742306741,0.0493700341097589,1.6977365951575023,0.29622020465855337,strong_continuation,
587,2025-08-29 13:00:00+00:00,bull,1,2.3896992978150697,0.9123611111111055,0.004166666666669193,0.08347222222222525,0.9540972222222182,0.8506665304075111,0.9088462945532838,0.149333469592489,2.949563389661273,0.896000817554934,weak_continuation,
371,2021-12-29 10:00:00+00:00,bear,-1,2.1762899429449334,0.9628657164291152,0.03675918979745024,0.0003750937734344931,0.9534621295081371,0.011635987326422036,0.44695529057192324,0.8396569001542915,0.05171549922854238,2.676489033843853,failed,5.0
