variant,ob_count,active_count,fresh_count,proportion_of_bars_with_any_active_ob,proportion_of_bars_with_any_fresh_ob,median_fresh_life_bars,touched_fraction,full_fraction,invalidated_fraction,overlap_pair_count,same_side_overlap_pair_count,median_zone_height_atr,median_strength,median_parent_displacement_score,median_parent_move_away_atr,median_distance_to_nearest_active_ob_when_active_inventory_exists,median_distance_to_nearest_fresh_ob_when_fresh_inventory_exists,any_active_within_0.5_atr_fraction,any_active_within_1_atr_fraction,any_active_within_2_atr_fraction,any_fresh_within_0.5_atr_fraction,any_fresh_within_1_atr_fraction,any_fresh_within_2_atr_fraction,usability_score,delta_ob_count,delta_active_count,delta_fresh_count,delta_proportion_of_bars_with_any_fresh_ob,delta_median_fresh_life_bars,delta_touched_fraction,delta_full_fraction,delta_invalidated_fraction,delta_same_side_overlap_pair_count,delta_median_strength,delta_usability_score
baseline,398,2,0,0.5501021423707506,0.4622073228222723,13.5,0.8040201005025126,0.7336683417085427,0.3241206030150754,700,362,0.5046805495094512,0.6875744030419322,0.7943599470392924,1.7453260761393108,2.932394753175389,3.2407678112071325,0.036090304331884135,0.07574249646430255,0.18071342517416583,0.006809491383374365,0.032004609501859516,0.11822324655596878,0.5765936828872243,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
displacement_mild_relax_1,398,2,0,0.5501545230736996,0.4628882719606097,14.0,0.8015075376884422,0.7336683417085427,0.3241206030150754,700,362,0.5046805495094512,0.6875744030419322,0.7925971527084126,1.7489145392135854,2.9325086684564328,3.2228486845928708,0.0360379236289351,0.07569011576135352,0.1806610444712168,0.006757110680425332,0.03195222879891048,0.11848515007071395,0.57683463412079,0,0,0,0.0006809491383374389,0.5,-0.002512562814070418,0.0,0.0,0,0.0,0.00024095123356560055
displacement_mild_relax_2,398,2,0,0.5501021423707506,0.4622073228222723,13.5,0.8040201005025126,0.7336683417085427,0.3241206030150754,700,362,0.5046805495094512,0.6875744030419322,0.7943599470392924,1.7489145392135854,2.9324966472263156,3.241028313579336,0.036090304331884135,0.07574249646430255,0.1806610444712168,0.006809491383374365,0.032004609501859516,0.11817086585301975,0.5765936828872243,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
activation_mild_relax_1,420,2,0,0.5668115866114923,0.47870724425121786,13.0,0.8071428571428572,0.7380952380952381,0.32142857142857145,776,403,0.5046805495094512,0.6775451312511879,0.7746907851020435,1.7453260761393108,2.87471834494248,3.2095554818130108,0.040228379864857784,0.08213294222408465,0.1923419412288513,0.007071394898119533,0.03457126394636216,0.12550416426588445,0.5860955424021791,22,0,0,0.016499921428945574,-0.5,0.0031227566403445595,0.004426896386695467,-0.00269203158650394,41,-0.01002927179074431,0.009501859514954747
activation_mild_relax_2,431,2,0,0.5798543816458017,0.49887381488659577,13.0,0.8004640371229699,0.7331786542923434,0.3225058004640371,824,430,0.5025171232015823,0.6730580557421753,0.7590017212247944,1.7522964161060388,2.873160769669397,3.2311610436287896,0.04169503954743073,0.08459483526268922,0.19700382379131529,0.007123775601068566,0.035356974490597666,0.12875176784872452,0.5958802577130585,33,0,0,0.036666492064323486,-0.5,-0.0035560633795427288,-0.0004896874161992582,-0.0016148025510382968,68,-0.014516347299756927,0.01928657482583418
geometry_mild_relax_1,398,2,0,0.5501021423707506,0.4622073228222723,13.5,0.8040201005025126,0.7336683417085427,0.3241206030150754,700,362,0.5046805495094512,0.6898892342981056,0.7943599470392924,1.7453260761393108,2.932394753175389,3.2407678112071325,0.036090304331884135,0.07574249646430255,0.18071342517416583,0.006809491383374365,0.032004609501859516,0.11822324655596878,0.5765936828872243,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0023148312561733775,0.0
geometry_mild_relax_2,398,2,0,0.5501021423707506,0.4622073228222723,13.5,0.8040201005025126,0.7336683417085427,0.3241206030150754,700,362,0.5046805495094512,0.6922832724502657,0.7943599470392924,1.7453260761393108,2.932394753175389,3.2407678112071325,0.036090304331884135,0.07574249646430255,0.18071342517416583,0.006809491383374365,0.032004609501859516,0.11822324655596878,0.5765936828872243,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0047088694083334826,0.0
composite_best_displacement_plus_best_activation,433,2,0,0.5827877010109476,0.5024357026871301,13.0,0.7967667436489607,0.7321016166281755,0.3233256351039261,835,434,0.5025171232015823,0.6716806341349054,0.7567496493688668,1.7566818738921923,2.888565709507252,3.239210479230018,0.04159027814153266,0.08443769315384213,0.1966895395736211,0.007019014195170499,0.03519983238175056,0.12875176784872452,0.5976900109999477,35,0,0,0.04022837986485783,-0.5,-0.007253356853551884,-0.0015667250803671484,-0.0007949679111493024,72,-0.015893768907026762,0.021096328112723328
composite_best_displacement_plus_best_geometry,398,2,0,0.5501545230736996,0.4628882719606097,14.0,0.8015075376884422,0.7336683417085427,0.3241206030150754,700,362,0.5046805495094512,0.6898892342981056,0.7925971527084126,1.7489145392135854,2.9325086684564328,3.2228486845928708,0.0360379236289351,0.07569011576135352,0.1806610444712168,0.006757110680425332,0.03195222879891048,0.11848515007071395,0.57683463412079,0,0,0,0.0006809491383374389,0.5,-0.002512562814070418,0.0,0.0,0,0.0023148312561733775,0.00024095123356560055
composite_best_activation_plus_best_geometry,431,2,0,0.5798543816458017,0.49887381488659577,13.0,0.8004640371229699,0.7331786542923434,0.3225058004640371,824,430,0.5025171232015823,0.676624423451178,0.7590017212247944,1.7522964161060388,2.873160769669397,3.2311610436287896,0.04169503954743073,0.08459483526268922,0.19700382379131529,0.007123775601068566,0.035356974490597666,0.12875176784872452,0.5958802577130585,33,0,0,0.036666492064323486,-0.5,-0.0035560633795427288,-0.0004896874161992582,-0.0016148025510382968,68,-0.010949979590754166,0.01928657482583418
composite_all_best_mild,433,2,0,0.5827877010109476,0.5024357026871301,13.0,0.7967667436489607,0.7321016166281755,0.3233256351039261,835,434,0.5025171232015823,0.6758282627515549,0.7567496493688668,1.7566818738921923,2.888565709507252,3.239210479230018,0.04159027814153266,0.08443769315384213,0.1966895395736211,0.007019014195170499,0.03519983238175056,0.12875176784872452,0.5976900109999477,35,0,0,0.04022837986485783,-0.5,-0.007253356853551884,-0.0015667250803671484,-0.0007949679111493024,72,-0.011746140290377238,0.021096328112723328
