count,top_quartile_avg_r,top_decile_avg_r,bottom_decile_avg_r,top_quartile_win_rate,top_decile_win_rate,bottom_decile_win_rate,eqh_top_quartile_avg_r,eql_top_quartile_avg_r,eqh_top_quartile_win_rate,eql_top_quartile_win_rate,rank_corr,eqh_rank_corr,eql_rank_corr,win_rate_gap,width_component,formation_delay_component,wick_ratio_component,atr_percentile_component,distance_at_detect_component,accepted,temporally_stable,first_half_rank_corr,second_half_rank_corr,first_half_top_q_avg_r,second_half_top_q_avg_r,first_half_win_rate_gap,second_half_win_rate_gap
466,0.3896683655313808,0.862396569741483,-0.10282904883133331,0.5384615384615384,0.7021276595744681,0.425531914893617,0.4571118442093441,0.3233679966615186,0.6206896551724138,0.4576271186440678,0.1494927771958641,0.18149532208227032,0.11969616414672761,0.11292962356792141,0.1111111111111111,0.3333333333333333,0.3888888888888889,0.05555555555555555,0.1111111111111111,True,True,0.21403396029815047,0.08352102968484615,0.5642485798776156,0.19793051068005504,0.17655367231638414,0.03319209039548027
466,0.4031677062770794,0.8468674377186148,-0.13081025250368147,0.5470085470085471,0.7021276595744681,0.425531914893617,0.49108120074734374,0.32781328244542435,0.6296296296296297,0.47619047619047616,0.13793889243152352,0.18228497666333898,0.09384403740839313,0.12147663211493004,0.125,0.29166666666666663,0.37499999999999994,0.08333333333333333,0.125,True,True,0.19805514138163452,0.07464976937570782,0.6083377643895237,0.17421514466841337,0.19350282485875708,0.016242937853107375
466,0.39345839114598335,0.8468674377186148,-0.089383784003479,0.5470085470085471,0.7021276595744681,0.44680851063829785,0.4604880422587998,0.3297802225888076,0.631578947368421,0.4666666666666667,0.14054590976054648,0.18217465361928784,0.09982313912954903,0.10020003637024921,0.12000000000000002,0.32,0.36,0.08,0.12000000000000002,True,True,0.20445303897696057,0.07267107920465801,0.6349767989218487,0.17009938981359088,0.21045197740112992,0.016242937853107375
466,0.2896712773584443,0.8437223894747222,-0.1939443466613015,0.5213675213675214,0.7021276595744681,0.40425531914893614,0.2763950432916623,0.3051602171030232,0.5555555555555556,0.48148148148148145,0.11870846166344264,0.16043703833602505,0.07544622628590668,0.11711220221858526,0.2,0.35000000000000003,0.30000000000000004,0.1,0.05,True,True,0.17535793279983375,0.06297669174689886,0.4599801830256331,0.11907711286859204,0.1596045197740113,0.0826271186440678
466,0.382100497975277,0.842015104184151,-0.08408643089337793,0.5384615384615384,0.7021276595744681,0.425531914893617,0.46397063346102835,0.30947376488307815,0.6181818181818182,0.46774193548387094,0.1424758702137412,0.18231727845551612,0.10296743793414789,0.11292962356792141,0.11538461538461539,0.3076923076923077,0.3846153846153846,0.07692307692307693,0.11538461538461539,True,True,0.2046292100837392,0.07916552254776668,0.566560419113068,0.17421514466841337,0.17655367231638414,0.057909604519774005
466,0.2800720039927499,0.8347567269816113,-0.17631644528041054,0.5128205128205128,0.7021276595744681,0.425531914893617,0.295547585442642,0.2620171589678756,0.5555555555555556,0.46296296296296297,0.112076986912359,0.166414360740741,0.05587821170911713,0.08728859792689575,0.18181818181818182,0.36363636363636365,0.27272727272727276,0.13636363636363638,0.045454545454545456,True,True,0.17245359783045577,0.05369337020495639,0.4599801830256331,0.09115582444544344,0.20127118644067798,0.02401129943502822
466,0.30125295414636005,0.83169297004085,-0.11921133647928193,0.5299145299145299,0.723404255319149,0.425531914893617,0.3022852926173898,0.3000485592634918,0.5714285714285714,0.48148148148148145,0.1275166705379167,0.16336208985532652,0.09122603112838713,0.1043826150209129,0.15000000000000002,0.4,0.35000000000000003,0.1,0.0,True,True,0.1926933687702435,0.06731527849519167,0.4938720992078308,0.08657867426884905,0.19350282485875708,0.10734463276836159
466,0.3144076053572359,0.8300195474007473,-0.029499976829516685,0.5299145299145299,0.7021276595744681,0.44680851063829785,0.34148763018361683,0.2828142430597913,0.5873015873015873,0.46296296296296297,0.14354725486758074,0.170983325006534,0.11768369329984693,0.08310601927623207,0.15000000000000002,0.35000000000000003,0.35000000000000003,0.05,0.1,True,True,0.20279285024189464,0.08064257295714189,0.4463932807429866,0.15979580980393623,0.1596045197740113,0.016242937853107375
466,0.2816410341827456,0.8298609282074432,-0.13382088417405538,0.5128205128205128,0.723404255319149,0.40425531914893614,0.3036898085396381,0.25678605218043027,0.5645161290322581,0.45454545454545453,0.12286554360399521,0.1618230336957484,0.08254469638796746,0.10856519367157663,0.16666666666666666,0.3888888888888889,0.3333333333333333,0.1111111111111111,0.0,True,True,0.18697029609240828,0.0640008729269845,0.5194134487853601,0.08657867426884905,0.19350282485875708,0.0656779661016949
466,0.31131374308482196,0.8279442385713798,-0.22995626428004384,0.5213675213675214,0.7021276595744681,0.3829787234042553,0.36425310845194114,0.25364764866706696,0.5901639344262295,0.44642857142857145,0.12212677775896247,0.157362404671411,0.08623771495542311,0.13838879796326609,0.19047619047619047,0.38095238095238093,0.33333333333333337,0.09523809523809523,0.0,True,True,0.1830457612108945,0.068148358813687,0.49881674869319065,0.1362023381167286,0.17655367231638414,0.0826271186440678
