event_count,bull_count,bear_count,hold_5_rate,failed_5_rate,tradeable_score_mean,recommended_excursion_ratio_variant,body_atr_hold_monotonicity_ok,tradeable_bucket_order_ok,bos_same_bar_rate,bos_pm1_rate,bos_pm2_rate,bos_quality_same_bar_rate,bos_quality_pm1_rate,bos_quality_pm2_rate,bos_tradeable_same_bar_rate,bos_tradeable_pm1_rate,bos_tradeable_pm2_rate,choch_same_bar_rate,choch_pm1_rate,choch_pm2_rate,choch_quality_same_bar_rate,choch_quality_pm1_rate,choch_quality_pm2_rate,choch_tradeable_same_bar_rate,choch_tradeable_pm1_rate,choch_tradeable_pm2_rate,excursion_ratio_5_capped_count,excursion_ratio_5_capped_mean,excursion_ratio_5_capped_median,excursion_ratio_5_capped_std,excursion_ratio_5_capped_min,excursion_ratio_5_capped_max,stage,body_atr_mult,min_body_frac,close_extreme_frac,max_opposite_wick_frac,body_atr_mult_delta,min_body_frac_delta,close_extreme_frac_delta,max_opposite_wick_frac_delta,total_looseness,event_distance_to_target,in_target_range,accepted
612,335,277,0.6568627450980392,0.09640522875816994,0.6487760149385288,capped,True,True,0.037337662337662336,0.08441558441558442,0.14935064935064934,0.032467532467532464,0.08441558441558442,0.16233766233766234,0.025974025974025976,0.05194805194805195,0.1038961038961039,0.035794183445190156,0.09843400447427293,0.1767337807606264,0.026785714285714284,0.05357142857142857,0.13392857142857142,0.026785714285714284,0.08035714285714286,0.14285714285714285,612,2.506975891705348,0.8799072544875377,3.225600066190275,0.0,10.0,body_atr_mult,1.35,0.6,0.2,0.2,0.1499999999999999,0.0,0.0,0.0,0.1499999999999999,2.5,True,True
567,305,262,0.6684303350970018,0.09347442680776014,0.6535758100351177,capped,True,True,0.03409090909090909,0.07792207792207792,0.13636363636363635,0.025974025974025976,0.07792207792207792,0.13636363636363635,0.01948051948051948,0.045454545454545456,0.09090909090909091,0.03355704697986577,0.0894854586129754,0.16778523489932887,0.017857142857142856,0.03571428571428571,0.11607142857142858,0.017857142857142856,0.0625,0.125,567,2.5185828831758976,0.8885116015845926,3.234260686264858,0.0,10.0,body_atr_mult,1.4,0.6,0.2,0.2,0.10000000000000009,0.0,0.0,0.0,0.10000000000000009,42.5,False,False
516,275,241,0.6821705426356589,0.08333333333333333,0.6580753350440827,capped,True,True,0.032467532467532464,0.0698051948051948,0.12175324675324675,0.025974025974025976,0.07142857142857142,0.12987012987012986,0.01948051948051948,0.045454545454545456,0.09090909090909091,0.03131991051454139,0.08053691275167785,0.1476510067114094,0.017857142857142856,0.026785714285714284,0.08928571428571429,0.026785714285714284,0.05357142857142857,0.09821428571428571,516,2.481937279060162,0.8891851078267132,3.184898048392905,0.0,10.0,body_atr_mult,1.45,0.6,0.2,0.2,0.050000000000000044,0.0,0.0,0.0,0.050000000000000044,93.5,False,False
478,255,223,0.6903765690376569,0.08158995815899582,0.6629045172198254,capped,True,True,0.030844155844155844,0.06493506493506493,0.11038961038961038,0.01948051948051948,0.05844155844155844,0.11688311688311688,0.012987012987012988,0.032467532467532464,0.07792207792207792,0.029082774049217,0.07606263982102908,0.13646532438478748,0.017857142857142856,0.026785714285714284,0.08928571428571429,0.026785714285714284,0.05357142857142857,0.09821428571428571,478,2.5507396027222415,0.9288594122065659,3.240451442535713,0.0,10.0,baseline,1.5,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,131.5,False,False
