displacement_event_id,displacement_detect_ts,displacement_side,displacement_direction,displacement_body_atr,displacement_body_frac,displacement_close_to_extreme_frac,displacement_opposite_wick_frac,displacement_quality_score,displacement_follow_through_score,displacement_tradeable_score,displacement_failure_severity_score,displacement_mfe_5_atr,displacement_mae_5_atr,displacement_final_outcome_5,displacement_first_retest_delay
531,2024-08-05 01:00:00+00:00,bull,1,1.4638353779586957,0.7894532764637575,0.1584593511696953,0.052087372366547126,0.6925418791042834,0.0,0.3234118383036847,1.0,0.0,4.235967633500261,reversed,1.0
583,2025-07-30 17:00:00+00:00,bear,-1,1.3556607186256073,0.6315501436584999,0.1897660418661905,0.17868381447530954,0.5413545245596157,0.0,0.24929722639255836,1.0,0.0,2.3430375245223343,reversed,1.0
471,2023-07-10 09:00:00+00:00,bear,-1,1.4287039292449961,0.8217567070929841,0.0970231532524759,0.08122013965454,0.7319338534732913,0.0011501194421460821,0.3396587764545431,0.9989776716069813,0.005111641965093698,3.118101598710003,reversed,1.0
409,2022-09-05 21:00:00+00:00,bull,1,1.7558016050602685,0.8261409500155261,0.172617199627443,0.0012418503570308468,0.7690393615647311,0.0013361511650638144,0.3908094203678078,0.9988123100754989,0.005938449622505842,3.181689342202412,reversed,1.0
522,2024-06-13 13:00:00+00:00,bear,-1,1.5756557665948572,0.8229967538014586,0.1296770886724787,0.04732615752606268,0.7489809759982646,0.0033855173726922037,0.34846089055426555,0.9969906512242737,0.015046743878632016,2.442479055255111,reversed,4.0
152,2017-10-06 09:00:00+00:00,bear,-1,1.7428855667732879,0.8188218242054063,0.03271560202919841,0.14846257376539532,0.8331992241757591,0.007982808149751466,0.42939559962945684,0.9929041705335543,0.03547914733222873,5.41927447946495,reversed,86.0
216,2018-12-19 18:00:00+00:00,bear,-1,2.2212978456655477,0.8071392743688331,0.09948169202474968,0.09337903360641722,0.8538287911720417,0.009007126945407475,0.48421931307288923,0.9919936649374156,0.04003167531292211,4.885934992066187,reversed,
386,2022-04-11 13:00:00+00:00,bear,-1,1.9246533739889562,0.907960199004965,0.025290215588728206,0.06674958540630678,0.9129395410705494,0.012062039980823792,0.44150535559842574,0.9892781866837123,0.053609066581439074,2.6971512350557583,reversed,1.0
458,2023-05-11 09:00:00+00:00,bull,1,1.3683728075544328,0.7655048692977936,0.18939005638135137,0.04510507432085506,0.6382446361425689,0.013399700241370239,0.34232351164255587,0.9880891553410043,0.059554223294978836,2.9231961449631267,reversed,884.0
12,2014-10-08 13:00:00+00:00,bear,-1,1.8799022716114413,0.9229972631111814,0.07581921739774322,0.0011835194910754506,0.8840413828343533,0.014745587019870634,0.5989863698557832,0.9868928115378929,0.06553594231053615,4.135242631126042,reversed,92.0
359,2021-11-03 13:00:00+00:00,bear,-1,1.7069327013310862,0.7446520444083342,0.17384240454914762,0.08150555104251814,0.7085120242276397,0.01787624065393655,0.3250870951313157,0.984110008307612,0.07944995846194021,3.8347019013903583,reversed,1.0
576,2025-06-23 13:00:00+00:00,bull,1,1.4204954899422582,0.874703087885991,0.1085213776722155,0.016775534441793426,0.746636544938779,0.018768766784115043,0.3425555135968908,0.9833166517474533,0.08341674126273352,4.119244049754472,reversed,1.0
96,2016-05-12 09:00:00+00:00,bull,1,1.520606306301469,0.6846921797005047,0.12914373480096025,0.18616408549853514,0.646681080820084,0.019602731544683637,0.3539970177109896,0.982575349738059,0.08712325130970505,2.569069968474176,reversed,1.0
52,2015-07-06 13:00:00+00:00,bull,1,1.5106040697243022,0.7946090443305817,0.17943862775672362,0.025952327912694688,0.696298878397833,0.025441418415662054,0.33421286748671475,0.9773854058527449,0.1130729707362758,3.9213452154785955,reversed,1.0
138,2017-04-18 13:00:00+00:00,bull,1,1.948503099425423,0.9265890078961884,0.06684387459931161,0.006567117504500072,0.9049757057227111,0.02907465179997547,0.43176227180149146,0.9741558650666885,0.12922067466655765,3.092911644405198,reversed,3.0
482,2023-09-20 13:00:00+00:00,bull,1,2.7230777722555763,0.9776876267748528,0.0033806626098684687,0.018931710615278798,0.9871534820824922,0.03241422970604508,0.6546528133524316,0.9711873513724044,0.14406324313797814,6.130691346872768,reversed,118.0
56,2015-08-18 09:00:00+00:00,bear,-1,1.702823754557535,0.7292056472189183,0.19748256506207532,0.0733117877190064,0.6851395153945562,0.03346960266349608,0.3313112876642794,0.9702492420768924,0.14875378961553812,2.4811496577662,reversed,1.0
320,2021-01-06 06:00:00+00:00,bull,1,1.3554443764664115,0.964007116463676,0.004174079649645658,0.03181880388667833,0.8233613743445143,0.03361911919695726,0.40304348882532437,0.9701163384915936,0.14941830754203225,5.490954429962642,reversed,1639.0
319,2020-12-27 22:00:00+00:00,bull,1,1.3515828323218892,0.7647058823529397,0.03769754170325549,0.1975965759438048,0.7096999331379191,0.04126468897690746,0.37376526018147965,0.9633202764649712,0.18339861767514426,2.8424361114875247,reversed,1.0
331,2021-03-12 06:00:00+00:00,bear,-1,1.5950904774284858,0.8666109136525127,0.12659418774827605,0.006794898599211202,0.7727734932793338,0.043963598970016116,0.5479523687973016,0.9609212453599857,0.19539377320007162,3.1162949785804477,reversed,68.0
