count,top_quartile_avg_r,top_decile_avg_r,bottom_decile_avg_r,top_quartile_win_rate,top_decile_win_rate,bottom_decile_win_rate,eqh_top_quartile_avg_r,eql_top_quartile_avg_r,eqh_top_quartile_win_rate,eql_top_quartile_win_rate,rank_corr,eqh_rank_corr,eql_rank_corr,win_rate_gap,width_component,formation_delay_component,wick_ratio_component,atr_percentile_component,distance_at_detect_component,accepted,temporally_stable,first_half_rank_corr,second_half_rank_corr,first_half_top_q_avg_r,second_half_top_q_avg_r,first_half_win_rate_gap,second_half_win_rate_gap
466,0.3936641649149064,0.8034983564378477,-0.02795010369250005,0.5470085470085471,0.7021276595744681,0.425531914893617,0.474974328108632,0.31641950988086703,0.6140350877192983,0.48333333333333334,0.13669749707926068,0.18502516254125748,0.08879691203287043,0.12147663211493004,0.1,0.30000000000000004,0.4,0.1,0.1,True,True,0.2010341251250712,0.07107160480582649,0.576803623490947,0.18690327981488428,0.19350282485875708,0.016242937853107375
466,0.3093176889915197,0.783378975819632,-0.24080964862998805,0.5299145299145299,0.6808510638297872,0.3829787234042553,0.34861526227934575,0.26651140380299465,0.5901639344262295,0.4642857142857143,0.1191085124506947,0.16873462332035677,0.07324935370218948,0.1469358065102746,0.2,0.30000000000000004,0.30000000000000004,0.1,0.1,True,True,0.171165657648696,0.0688928559202993,0.5020602381727268,0.16976932411834714,0.23516949152542377,0.11652542372881358
466,0.2762347077320815,0.749995241446228,-0.18895168297682388,0.5128205128205128,0.6808510638297872,0.40425531914893614,0.2834066963710712,0.26757419314915054,0.5625,0.4528301886792453,0.11881303099533047,0.15596945200260334,0.08192869491031901,0.10856519367157663,0.2,0.4,0.30000000000000004,0.1,0.0,True,True,0.18025588769507325,0.06267112943175182,0.49881674869319076,0.06652646412910299,0.17655367231638414,0.0656779661016949
466,0.22695442986064626,0.739554737729065,-0.13133408572043986,0.5213675213675214,0.6595744680851063,0.425531914893617,0.24015662215272443,0.21397600353962018,0.5689655172413793,0.4745762711864407,0.11946439653619759,0.13601340479557156,0.10677558299135823,0.09583560647390438,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.0,0.1,True,True,0.15792196981369155,0.08293976456417557,0.2806592421216401,0.2110847818929053,0.08403954802259889,0.0748587570621469
466,0.37038372036576017,0.7363151907670734,-0.0392186979384467,0.5641025641025641,0.6170212765957447,0.425531914893617,0.42843274230005457,0.32231187407642253,0.6226415094339622,0.515625,0.15595797364585542,0.1793216599440738,0.1364034598871885,0.13857064920894707,0.1,0.30000000000000004,0.5,0.0,0.1,True,True,0.20057130272590712,0.10485266335986608,0.46450636105569376,0.32837602358894297,0.1596045197740113,0.11793785310734467
466,0.464861329656123,0.7308379885494696,-0.09689434712338071,0.5897435897435898,0.6595744680851063,0.3829787234042553,0.45078496219264463,0.47967855856504754,0.65,0.5263157894736842,0.11352005613373567,0.1420945898859032,0.09493300442187363,0.20676486633933444,0.0,0.7000000000000001,0.2,0.1,0.0,True,True,0.20526521763871947,0.01659492013174726,0.47349954635988517,0.45500362996631377,0.3185028248587571,0.11793785310734467
466,0.3984495892796503,0.7232744650586207,-0.013320808899211492,0.5641025641025641,0.6808510638297872,0.44680851063829785,0.36207740118721576,0.4394509649474855,0.6129032258064516,0.509090909090909,0.13834317326908394,0.18070864920509494,0.09879397808477225,0.11729405346426625,0.1,0.4,0.30000000000000004,0.1,0.1,True,True,0.21117839586115755,0.0634733549236362,0.5478473015956487,0.22534934155213227,0.19350282485875708,0.09180790960451973
466,0.2987264697020069,0.7077708823804337,-0.20463060173060485,0.5299145299145299,0.6595744680851063,0.3829787234042553,0.36245273932820177,0.2360803063406625,0.603448275862069,0.4576271186440678,0.1145702283294112,0.15401991460705125,0.07709487748983965,0.1469358065102746,0.2,0.30000000000000004,0.4,0.1,0.0,True,True,0.1657401847501082,0.07470252117604266,0.40768985624407544,0.13851109485356808,0.1596045197740113,0.0826271186440678
466,0.4332068442411298,0.7072075911612649,-0.10743135580975098,0.5726495726495726,0.6808510638297872,0.40425531914893614,0.4222492716860921,0.44514277148858145,0.6065573770491803,0.5357142857142857,0.09941159422287146,0.16463378656580774,0.03586364589933971,0.16839425350063647,0.1,0.4,0.30000000000000004,0.2,0.0,True,True,0.16973837308869327,0.027212961753859646,0.5114100888905481,0.3250284295985751,0.1687853107344633,0.10875706214689268
466,0.3328828515018619,0.6997209903578461,-0.09322306064551636,0.5470085470085471,0.6595744680851063,0.425531914893617,0.38932890194089204,0.2754635932966415,0.6101694915254238,0.4827586206896552,0.13374374003819559,0.1660953184241607,0.10216653633659037,0.12147663211493004,0.1,0.4,0.4,0.1,0.0,True,True,0.20248828324373505,0.06630602706991777,0.465856109239907,0.19038214096432568,0.21822033898305082,0.0748587570621469
