count,top_quartile_avg_r,top_decile_avg_r,bottom_decile_avg_r,top_quartile_win_rate,top_decile_win_rate,bottom_decile_win_rate,eqh_top_quartile_avg_r,eql_top_quartile_avg_r,eqh_top_quartile_win_rate,eql_top_quartile_win_rate,rank_corr,eqh_rank_corr,eql_rank_corr,win_rate_gap,touch_component,width_component,formation_delay_component,structural_component,active_age_component,accepted
466,0.3273418392314791,0.8646309657350428,0.19021271639946186,0.5641025641025641,0.8085106382978723,0.425531914893617,0.2630485074378937,0.3884205044353853,0.5789473684210527,0.55,0.10784898942251901,0.1089295944316691,0.11196773784098747,0.13857064920894707,0.05,0.0,0.30000000000000004,0.7000000000000001,0.0,True
466,0.33604990513401073,0.8618054924429789,0.18305990649690437,0.5641025641025641,0.7659574468085106,0.425531914893617,0.28934532850867356,0.38041925292808093,0.5964912280701754,0.5333333333333333,0.10974274562160384,0.11523887986983618,0.1132510742527551,0.13857064920894707,0.05,0.0,0.2,0.4,0.4,True
466,0.33451047538648415,0.8618054924429789,0.18305990649690437,0.5641025641025641,0.7659574468085106,0.425531914893617,0.28934532850867356,0.3774173649204042,0.5964912280701754,0.5333333333333333,0.11026770730619725,0.11663829289707929,0.11347135957081388,0.13857064920894707,0.05,0.0,0.30000000000000004,0.6000000000000001,0.1,True
466,0.3273418392314791,0.834660869356877,0.19021271639946186,0.5641025641025641,0.7872340425531915,0.425531914893617,0.2630485074378937,0.3884205044353853,0.5789473684210527,0.55,0.10802690036195937,0.10980422757369604,0.11198418448238101,0.13857064920894707,0.0,0.0,0.30000000000000004,0.7000000000000001,0.0,True
466,0.3216412756124024,0.829310905356097,0.19585529023506731,0.5555555555555556,0.7446808510638298,0.425531914893617,0.2456387072032948,0.3989542331320117,0.576271186440678,0.5344827586206896,0.11282203562623212,0.12037784652989333,0.11473924610733306,0.13002364066193856,0.05,0.0,0.30000000000000004,0.5,0.2,True
466,0.31735564352723705,0.8244776264936846,0.19585529023506731,0.5555555555555556,0.7446808510638298,0.425531914893617,0.22487806208323988,0.4147004660998656,0.5666666666666667,0.543859649122807,0.11309530931747738,0.12133994298612298,0.11443622919923413,0.13002364066193856,0.0,0.0,0.30000000000000004,0.5,0.2,True
466,0.33451047538648415,0.8208210032636449,0.18305990649690437,0.5641025641025641,0.7446808510638298,0.425531914893617,0.28934532850867356,0.3774173649204042,0.5964912280701754,0.5333333333333333,0.11042403254774047,0.11738173106780218,0.11314641380752359,0.13857064920894707,0.0,0.0,0.1,0.2,0.7000000000000001,True
466,0.33451047538648415,0.8208210032636449,0.18305990649690437,0.5641025641025641,0.7446808510638298,0.425531914893617,0.28934532850867356,0.3774173649204042,0.5964912280701754,0.5333333333333333,0.11042403254774047,0.11738173106780218,0.11314641380752359,0.13857064920894707,0.0,0.0,0.2,0.4,0.4,True
466,0.33451047538648415,0.8208210032636449,0.18305990649690437,0.5641025641025641,0.7446808510638298,0.425531914893617,0.28934532850867356,0.3774173649204042,0.5964912280701754,0.5333333333333333,0.11042403254774047,0.11738173106780218,0.11314641380752359,0.13857064920894707,0.0,0.0,0.30000000000000004,0.6000000000000001,0.1,True
466,0.2662544242181269,0.8200191906017501,0.19021271639946186,0.5384615384615384,0.7872340425531915,0.425531914893617,0.1784496411759802,0.3496689681081663,0.543859649122807,0.5333333333333333,0.10672504017293571,0.10715895926971342,0.11112696559762746,0.11292962356792141,0.0,0.0,0.2,0.5,0.30000000000000004,True
466,0.31858130750904434,0.7986214830503354,0.12620993506847264,0.5555555555555556,0.723404255319149,0.40425531914893614,0.2620383676658525,0.38017272412394965,0.5901639344262295,0.5178571428571429,0.11324305004515949,0.12283675834054636,0.11292014789259446,0.15130023640661944,0.0,0.0,0.2,0.30000000000000004,0.5,True
466,0.31858130750904434,0.7986214830503354,0.12620993506847264,0.5555555555555556,0.723404255319149,0.40425531914893614,0.2620383676658525,0.38017272412394965,0.5901639344262295,0.5178571428571429,0.11324305004515949,0.12283675834054636,0.11292014789259446,0.15130023640661944,0.0,0.0,0.4,0.6000000000000001,0.0,True
466,0.3127890833321919,0.7986214830503354,0.12620993506847264,0.5470085470085471,0.723404255319149,0.40425531914893614,0.24817182343336838,0.38080725164674284,0.5833333333333334,0.5087719298245614,0.11263342514777647,0.12132851312119877,0.11285336456087529,0.14275322785961092,0.05,0.0,0.2,0.30000000000000004,0.5,True
466,0.3049692385547661,0.7986214830503354,0.12620993506847264,0.5470085470085471,0.723404255319149,0.40425531914893614,0.24817182343336838,0.3647559913141321,0.5833333333333334,0.5087719298245614,0.11286153683131764,0.1226419536861858,0.11288526107751727,0.14275322785961092,0.05,0.0,0.4,0.6000000000000001,0.0,True
466,0.32946112038982817,0.7874441158513569,0.19585529023506731,0.5555555555555556,0.723404255319149,0.425531914893617,0.2671152366378343,0.3907502942477203,0.5862068965517241,0.5254237288135594,0.11198772040952792,0.11839551039151525,0.11448855942184989,0.13002364066193856,0.1,0.0,0.30000000000000004,0.5,0.1,True
466,0.2740742689955527,0.7712939147994031,0.19021271639946186,0.5384615384615384,0.7659574468085106,0.425531914893617,0.19949338476840842,0.34254196599096387,0.5535714285714286,0.5245901639344263,0.10483818890891308,0.10288170503481235,0.11090717866264123,0.11292962356792141,0.1,0.0,0.2,0.5,0.2,True
466,0.33604990513401073,0.7662493232211601,0.18305990649690437,0.5641025641025641,0.7446808510638298,0.425531914893617,0.28934532850867356,0.38041925292808093,0.5964912280701754,0.5333333333333333,0.10835634663303494,0.11268107488005624,0.11311750758931678,0.13857064920894707,0.05,0.0,0.1,0.2,0.7000000000000001,True
466,0.33604990513401073,0.7662493232211601,0.18305990649690437,0.5641025641025641,0.7446808510638298,0.425531914893617,0.28934532850867356,0.38041925292808093,0.5964912280701754,0.5333333333333333,0.10835634663303494,0.11268107488005624,0.11311750758931678,0.13857064920894707,0.1,0.0,0.2,0.4,0.30000000000000004,True
466,0.2662544242181269,0.760625426417183,0.19021271639946186,0.5384615384615384,0.7659574468085106,0.425531914893617,0.1784496411759802,0.3496689681081663,0.543859649122807,0.5333333333333333,0.10599734710665137,0.10520693712091693,0.1108523565246628,0.11292962356792141,0.05,0.0,0.2,0.5,0.30000000000000004,True
466,0.33604990513401073,0.7555808348389401,0.18305990649690437,0.5641025641025641,0.7446808510638298,0.425531914893617,0.28934532850867356,0.38041925292808093,0.5964912280701754,0.5333333333333333,0.10954430649684346,0.11441195399010161,0.11332533333056226,0.13857064920894707,0.1,0.0,0.30000000000000004,0.6000000000000001,0.0,True
