displacement_event_id,displacement_detect_ts,displacement_side,displacement_direction,displacement_body_atr,displacement_body_frac,displacement_close_to_extreme_frac,displacement_opposite_wick_frac,displacement_quality_score,displacement_follow_through_score,displacement_tradeable_score,displacement_failure_severity_score,displacement_mfe_5_atr,displacement_mae_5_atr,displacement_final_outcome_5,displacement_first_retest_delay
345,2021-08-06 09:00:00+00:00,bear,-1,2.9473614875171834,0.8983574879227099,0.03787439613526641,0.06376811594202371,0.9302415458937218,1.0,0.8370556816570903,0.0,13.39277509653693,0.0,strong_continuation,37.0
503,2024-01-11 18:00:00+00:00,bull,1,1.3634281106976343,0.9136233724991987,0.05176246427437589,0.034614163226425444,0.7792235972674224,1.0,0.7610842575239458,0.0,3.1732758530522447,0.0,strong_continuation,20.0
26,2015-02-06 10:00:00+00:00,bear,-1,2.3362744054315354,0.9046177480571075,0.09104464124345267,0.004337610699439878,0.9067865534068275,1.0,0.90297612376868,0.0,2.1698727620498257,0.0,strong_continuation,1565.0
438,2023-02-03 10:00:00+00:00,bear,-1,2.1503496365268795,0.7718277066356194,0.1174330616996527,0.11073923166472786,0.8183934807916144,1.0,0.8017518731616763,0.0,2.0611571553738113,0.0,strong_continuation,156.0
150,2017-08-28 13:00:00+00:00,bull,1,1.901696886705273,0.8348403616867995,0.07081699607905785,0.09434264223414264,0.8559253100492037,0.9997569638791381,0.9293880652649869,0.0002430361208619259,3.0833992653605202,0.0014582167251715554,strong_continuation,15.0
251,2019-07-18 13:00:00+00:00,bull,1,1.5665030807839369,0.9522833483643613,0.027711732393208864,0.020004919242429836,0.852223719964165,0.9988760919208046,0.8355354189985879,0.001123908079195373,3.1071113194231876,0.0067434484751722375,strong_continuation,6.0
246,2019-07-02 13:00:00+00:00,bull,1,1.3751872683151323,0.6907175398633225,0.1650341685649157,0.14424829157176178,0.5989868731025586,0.9984693686105836,0.7565032061273516,0.0015306313894164674,3.699706138378395,0.009183788336498805,strong_continuation,18.0
220,2019-01-25 10:00:00+00:00,bull,1,1.4040202349428255,0.7983942908117726,0.11433244127267597,0.08727326791555146,0.7075748799027038,0.9969061006616754,0.7653776454891394,0.003093899338324645,4.129179063399006,0.01856339602994787,strong_continuation,155.0
474,2023-07-27 09:00:00+00:00,bear,-1,1.8546767187007,0.7407407407407451,0.10757254069355884,0.15168671856569604,0.7726340072776985,0.9962591446225773,0.8902091441069092,0.003740855377422858,2.082672009598309,0.02244513226453715,strong_continuation,13.0
130,2017-03-21 09:00:00+00:00,bull,1,1.5813581394684466,0.9159453017187499,0.014176389411595654,0.06987830886965452,0.8466811949610633,0.9958125018449913,0.7299648189980488,0.004187498155008739,2.1364904379833054,0.025124988930052432,strong_continuation,185.0
168,2018-01-24 06:00:00+00:00,bull,1,1.4225680265916005,0.787049318702514,0.10768117689617945,0.10526950440130649,0.7068851873725398,0.9957499499741801,0.8329480600084332,0.004250050025819974,3.558490603671044,0.02550030015491984,strong_continuation,9.0
189,2018-07-03 05:00:00+00:00,bull,1,1.3867422686446007,0.8306289392517178,0.13705243395466687,0.0323186267936153,0.706248499014141,0.9923879178020818,0.8083447853497832,0.007612082197918208,3.2754341928108612,0.045672493187509246,strong_continuation,37.0
539,2024-09-12 13:00:00+00:00,bull,1,1.7668821464184197,0.6707980652962546,0.13406892382103855,0.19513301088270682,0.6871933417659111,0.9923692561650124,0.8438687713277844,0.0076307438349877375,2.0053594798354077,0.045784463009926425,strong_continuation,268.0
519,2024-06-07 05:00:00+00:00,bear,-1,2.689860734353088,0.8731566692537926,0.10378090697417151,0.023062423772035875,0.8846878811398106,0.9922577553466259,0.8058126853437385,0.007742244653374219,4.1350417841369635,0.046453467920245316,strong_continuation,56.0
17,2014-11-05 02:00:00+00:00,bear,-1,1.7457284671824462,0.7622157716497442,0.19702467343975835,0.0407595549104974,0.7179038074343244,0.9908586100575932,0.7610750238080397,0.009141389942406779,2.349198709289194,0.05484833965444068,strong_continuation,22.0
421,2022-11-10 10:00:00+00:00,bull,1,2.3160791079797223,0.7877094972067048,0.11882832553224133,0.09346217726105388,0.8305998037143271,0.9908250651910602,0.9006983556103978,0.009174934808939833,2.9300598260813007,0.05504960885363899,strong_continuation,
22,2014-12-25 22:00:00+00:00,bull,1,1.4532823123258225,0.8619015894165751,0.13809841058342484,0.0,0.7336713883121432,0.9886596050422165,0.860111258924101,0.0113403949577836,2.499112792607182,0.06804236974670161,strong_continuation,10.0
298,2020-07-26 21:00:00+00:00,bull,1,1.6067361091355643,0.8233357876044887,0.04699207414786431,0.12967213824764703,0.7974104970239448,0.9855469818694299,0.8816823997590724,0.014453018130570162,2.1763202563983013,0.08671810878342097,strong_continuation,8.0
373,2021-12-30 14:00:00+00:00,bull,1,1.6126816004222198,0.7994762439207007,0.056490834268603164,0.1440329218106961,0.7842352164677584,0.9836493052523074,0.7320834601499372,0.016350694747692598,2.1167860969509635,0.0981041684861556,strong_continuation,11.0
240,2019-05-31 13:00:00+00:00,bull,1,1.8344693881451637,0.7285043352601257,0.1874096820809103,0.084085982658964,0.7192370742838006,0.9805545335127132,0.8335634626964497,0.019445466487286876,3.102404776058493,0.11667279892372126,strong_continuation,
