event_idx,timestamp,event_type,event_side,event_direction,quality_score,tradeable_score,nearest_displacement_distance,displacement_same_bar,displacement_pm1,displacement_pm2
16316,2015-05-01 13:00:00+00:00,bos,bear,-1.0,0.19268945748501096,0.39268945748501094,4.0,0,0,0
16428,2015-05-28 09:00:00+00:00,bos,bear,-1.0,0.42072634982963003,0.62072634982963,6.0,0,0,0
16440,2015-06-01 09:00:00+00:00,bos,bull,1.0,0.6869331025309066,0.8369331025309066,6.0,0,0,0
16458,2015-06-04 09:00:00+00:00,bos,bear,-1.0,0.5408817966852212,0.7408817966852212,24.0,0,0,0
16464,2015-06-05 09:00:00+00:00,bos,bear,-1.0,0.6724215487287198,0.9724215487287199,30.0,0,0,0
16481,2015-06-10 05:00:00+00:00,bos,bull,1.0,0.46110297445517107,0.5611029744551711,22.0,0,0,0
16536,2015-06-23 09:00:00+00:00,bos,bear,-1.0,0.40104512021302835,0.4510451202130284,0.0,1,1,1
16542,2015-06-24 09:00:00+00:00,bos,bear,-1.0,0.2491455458617718,0.3491455458617717,6.0,0,0,0
16577,2015-07-02 05:00:00+00:00,bos,bear,-1.0,0.229190631031139,0.429190631031139,16.0,0,0,0
16595,2015-07-07 09:00:00+00:00,bos,bear,-1.0,0.6936026984573455,0.9936026984573455,2.0,0,0,1
16643,2015-07-17 09:00:00+00:00,bos,bear,-1.0,0.7690887886340138,1.0,48.0,0,0,0
16670,2015-07-23 21:00:00+00:00,bos,bear,-1.0,0.34075233300150365,0.49075233300150367,21.0,0,0,0
16744,2015-08-11 05:00:00+00:00,bos,bull,1.0,0.5702978461326714,0.7202978461326714,0.0,1,1,1
16752,2015-08-12 13:00:00+00:00,bos,bull,1.0,0.4037142629931258,0.5537142629931258,5.0,0,0,0
16821,2015-08-28 01:00:00+00:00,bos,bull,1.0,0.13321666794542136,0.2332166679454213,1.0,0,1,1
16833,2015-09-01 01:00:00+00:00,bos,bull,1.0,0.19956741925514362,0.29956741925514363,13.0,0,0,0
16853,2015-09-04 09:00:00+00:00,bos,bear,-1.0,0.40882820946621623,0.45882820946621633,1.0,0,1,1
16882,2015-09-11 09:00:00+00:00,bos,bear,-1.0,0.5982570633963237,0.8982570633963237,5.0,0,0,0
16908,2015-09-17 17:00:00+00:00,bos,bull,1.0,0.7270144933289995,0.9270144933289995,31.0,0,0,0
16911,2015-09-18 05:00:00+00:00,bos,bull,1.0,0.6122125552980636,0.9122125552980637,31.0,0,0,0
16952,2015-09-29 01:00:00+00:00,bos,bear,-1.0,0.5251705177594692,0.7251705177594693,10.0,0,0,0
16957,2015-09-29 21:00:00+00:00,bos,bear,-1.0,0.23715170838253724,0.4371517083825372,10.0,0,0,0
16971,2015-10-02 05:00:00+00:00,bos,bear,-1.0,0.5824131770413606,0.6824131770413607,4.0,0,0,0
16984,2015-10-06 09:00:00+00:00,bos,bull,1.0,0.5860118124375215,0.7860118124375216,1.0,0,1,1
15023,2015-10-14 17:00:00+00:00,bos,bull,1.0,0.3135730343773287,0.6135730343773287,41.0,0,0,0
15042,2015-10-19 21:00:00+00:00,bos,bear,-1.0,0.18862784494319235,0.2886278449431923,60.0,0,0,0
15063,2015-10-23 09:00:00+00:00,bos,bear,-1.0,0.46435638279118,0.76435638279118,81.0,0,0,0
15083,2015-10-28 17:00:00+00:00,bos,bear,-1.0,0.5932793975593639,0.8932793975593639,65.0,0,0,0
15094,2015-10-30 13:00:00+00:00,bos,bear,-1.0,0.1986307801550119,0.3986307801550119,54.0,0,0,0
15101,2015-11-02 18:00:00+00:00,bos,bear,-1.0,0.1993337390210203,0.44933373902102025,47.0,0,0,0
15105,2015-11-03 10:00:00+00:00,bos,bear,-1.0,0.5436687723020439,0.743668772302044,43.0,0,0,0
15112,2015-11-04 14:00:00+00:00,bos,bear,-1.0,0.49334650246944106,0.793346502469441,36.0,0,0,0
15119,2015-11-05 18:00:00+00:00,bos,bear,-1.0,0.3362028175203186,0.5362028175203186,29.0,0,0,0
15123,2015-11-06 10:00:00+00:00,bos,bear,-1.0,0.7585687395169747,1.0,25.0,0,0,0
15147,2015-11-12 10:00:00+00:00,bos,bear,-1.0,0.5809031288353014,0.8309031288353014,1.0,0,1,1
15400,2016-01-13 06:00:00+00:00,bos,bear,-1.0,0.291123703323741,0.39112370332374097,2.0,0,0,1
15408,2016-01-14 14:00:00+00:00,bos,bear,-1.0,0.32801955242074116,0.5280195524207412,6.0,0,0,0
15457,2016-01-26 18:00:00+00:00,bos,bull,1.0,0.2117784058773654,0.31177840587736544,6.0,0,0,0
