report_group,range_id,candidate_lookback_bars,birth_idx,confirm_idx,end_idx,state,confirm_latency_bars,low,high,mid,width_abs,width_atr,strength_raw,strength,strength_raw_legacy,strength_legacy,upper_touches,lower_touches,close_inside_frac,boundary_stability_score,candidate_boundary_drift_abs,candidate_boundary_drift_atr,confirm_close_position_in_range,confirm_dist_to_upper_atr,confirm_dist_to_lower_atr,confirm_regime,range_recent_pressure_imbalance,range_recent_upper_pressure_count,range_recent_lower_pressure_count,range_recent_pressure_dominant_side,range_recent_equilibrium_score,range_recent_expansion_veto_flag,range_viability_gate_pass,range_recent_upper_touch_freshness,range_recent_lower_touch_freshness,range_recent_two_sided_freshness_score,range_strength_structure,range_strength_monitorability,range_strength_semantic,range_strength_formation,range_strength_viability,range_strength_formation_legacy,range_strength_viability_legacy,range_touch_quality_score,range_containment_quality_score,range_stability_quality_score,break_pending_count,reclaimed_count,total_pending_bars,mean_pending_duration_bars,first_breach_idx,first_breach_side,first_upper_breach_idx,first_lower_breach_idx,bars_to_first_breach,breakout_side_first,accepted_breakout_side,bars_to_breakout_accept,audit_range_recent_pressure_imbalance_legacy,audit_range_recent_pressure_imbalance_v2,duration_bars,rb_micro_box_risk_score,rb_late_confirm_fragility_score,rb_boundary_relevance_score,rb_monitor_worthiness_score,rb_plausibility_score,strength_repair_v1,strength_repair_v2,strength_repair_v3,strength_repair_v4,contract_bucket
shortest_lived,61,5,5188,5191,5191,7,3,1273.051,1281.345,1277.1979999999999,8.294000000000096,1.7382458797138889,0.6178839909336514,0.6178839909336514,0.5237399418784399,0.5237399418784399,2,2,1.0,0.7535953083116401,0.8229999999998654,0.17248328418185194,0.49686520376176113,0.8745719865018058,0.8636738932120831,0.0,0.37353623789602153,1,1,0,0.9873804356562947,0,1,0.6,1.0,0.6,0.6924008837545635,0.6348676136232713,0.591695045023025,0.6924008837545635,0.609428873104382,0.6924008837545635,0.5940190482293176,0.25,1.0,0.7535953083116401,0,0,0,,,0,,,,0,0,,0.0,0.14965143991819232,0,0.6666666666666667,0.9166666666666666,0.4112011307142094,0.0,0.18613361601188566,0.1952416257255947,0.26036174786837385,0.31213691686360706,0.10400877144290059,strong_false_positive
shortest_lived,2,8,174,177,178,4,3,1286.076,1295.375,1290.7255,9.298999999999978,2.059374891275531,0.6848020226197199,0.6848020226197199,0.6168499283546941,0.6168499283546941,2,3,1.0,1.0,0.0,0.0,0.678460049467683,0.66217130066823,1.397203590607301,0.0,0.37516309004870096,0,1,-1,0.9806789260493882,0,1,0.375,0.75,0.375,0.7412285086621848,0.7089625529860445,0.655478939345213,0.7412285086621848,0.6898430672791547,0.7412285086621848,0.7203323517332578,0.25,1.0,1.0,0,0,0,,178.0,-1,,178.0,1.0,-1,-1,1.0,0.6,0.2887778122156309,1,0.7166666666666667,0.8333333333333334,0.4646233765273457,0.0625,0.2280308441318364,0.2180023237928204,0.3027596266541679,0.3387898475482086,0.13186327374959494,strong_false_positive
shortest_lived,24,8,2141,2144,2145,4,3,1083.742,1093.534,1088.638,9.792000000000144,2.262537905065502,0.6633572329381646,0.6633572329381646,0.5395844980374787,0.5395844980374787,2,3,1.0,1.0,0.0,0.0,0.36683006535948176,1.432570977472019,0.8299669275934831,2.0,0.5383108359765533,0,1,-1,0.9108115468409559,0,1,0.25,0.75,0.25,0.7050116147237151,0.6876641992326872,0.6362746801650777,0.7050116147237151,0.6513607095109324,0.7050116147237151,0.6089257887591323,0.25,1.0,1.0,0,0,0,,2145.0,-1,,2145.0,1.0,-1,-1,1.0,0.6,0.40411376900979484,1,0.7166666666666667,0.8333333333333334,0.4796401464617625,0.0625,0.23178503661544061,0.21743969022387458,0.3010718995657926,0.33429266056227114,0.13488824562819637,strong_false_positive
shortest_lived,27,8,2439,2445,2446,4,6,1094.014,1102.743,1098.3784999999998,8.729000000000042,1.54884014383046,0.6933637076406538,0.6933637076406538,0.5556203586360905,0.5556203586360905,3,3,0.875,0.5858133324028886,1.6339999999997872,0.28993066731797795,0.7594226142742698,0.372615912709796,1.1762242311206639,0.0,0.45866376703561473,1,0,1,0.790010310459371,0,1,1.0,0.625,0.625,0.6918195096635594,0.6957552137265818,0.6916019142048095,0.6918195096635594,0.689319207469252,0.6918195096635594,0.6718817814834772,0.5,0.875,0.5858133324028886,0,0,0,,2446.0,1,2446.0,,1.0,1,1,1.0,0.0,0.2687428635001906,1,0.55,0.8690476190476191,0.4997769507366269,0.0625,0.2630097138746329,0.26354320999938247,0.3272635088966231,0.381756995727244,0.16599624167579297,strong_false_positive
shortest_lived,41,5,3704,3713,3714,7,9,1221.395,1230.019,1225.7069999999999,8.624000000000024,0.9804240151445804,0.5921809241612052,0.5921809241612052,0.5357966013611697,0.5357966013611697,2,2,1.0,0.5827741030170983,2.56899999999996,0.2920581278880312,0.6219851576994455,0.37061482947255503,0.6098091856720255,1.0,0.3539055158663178,1,1,0,0.853354978354975,0,1,0.4,0.6,0.4,0.6660160593120518,0.5993780412548889,0.5743217241783753,0.6660160593120518,0.6043065738238377,0.6660160593120518,0.6741333382526599,0.25,1.0,0.5827741030170983,0,0,0,,,0,,,,0,0,,0.2,0.3539055158663178,1,0.55,0.9666666666666667,0.2654661567585731,0.020833333333333332,0.1703248725229766,0.19902858272419974,0.2433952192384769,0.3179312727796344,0.09159831361775232,strong_false_positive
shortest_lived,57,12,4889,4897,4898,4,8,1284.217,1291.37,1287.7935,7.152999999999793,1.8339432158937687,0.7020089371951393,0.7020089371951393,0.6048681011353177,0.6048681011353177,2,2,1.0,0.7633905219652595,0.6460000000001855,0.16562663462431837,0.5000699007409621,0.916843413957211,0.9170998019365577,0.0,0.4521554787141362,0,1,-1,0.7473787222144566,0,1,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.7256348840036704,0.7112105139022465,0.6904994612718044,0.7256348840036704,0.7052076132072764,0.7256348840036704,0.7226181156882802,0.25,1.0,0.7633905219652595,0,0,0,,4898.0,-1,,4898.0,1.0,-1,-1,1.0,0.6,0.44806185366365153,1,0.65,0.8796296296296297,0.4712711312616222,0.0625,0.23376685688947962,0.2335638260637052,0.3097533667922509,0.35429294187464766,0.14212796829088997,strong_false_positive
shortest_lived,70,12,6070,6074,6075,4,4,1296.292,1306.422,1301.357,10.13000000000011,2.247220185147266,0.7143109037275854,0.7143109037275854,0.5934625688742801,0.5934625688742801,2,2,1.0,0.8276000873332667,0.543999999999869,0.12067993886671324,0.3117472852912236,1.5466553929759648,0.700564792171301,0.0,0.685956884294879,0,2,-1,0.5770977295162973,0,1,0.6666666666666667,0.75,0.6666666666666667,0.744910369292616,0.7225024724104699,0.7025340715435577,0.744910369292616,0.7022445848092325,0.744910369292616,0.6611498361381064,0.25,1.0,0.8276000873332667,0,0,0,,6075.0,-1,,6075.0,1.0,-1,-1,1.0,0.4,0.44432844102675717,1,0.65,0.85,0.532585861830654,0.0625,0.2550214654576635,0.24777767521987024,0.3294017171879117,0.3704365258408041,0.1564831552702099,strong_false_positive
shortest_lived,81,12,6906,6910,6911,4,4,1240.037,1247.058,1243.5475000000001,7.020999999999958,2.2225144318177534,0.6886043112755911,0.6886043112755911,0.5251327953840199,0.5251327953840199,4,2,1.0,1.0,0.0,0.0,0.1670702179176768,1.8511984613687795,0.3713159704489737,0.0,0.6705197448126128,0,2,-1,0.5030622418458724,0,1,0.5833333333333333,0.75,0.5833333333333333,0.7006772742062254,0.7061757702438971,0.6719126116733126,0.7006772742062254,0.6677235443664216,0.7006772742062254,0.5824409579976885,0.25,1.0,1.0,0,0,0,,6911.0,-1,,6911.0,1.0,-1,-1,1.0,0.8,0.6695706722792572,1,0.65,0.85,0.45400363490684237,0.0625,0.23537590872671058,0.2291445452958663,0.30317031008582757,0.34721918207483393,0.13969553590469236,strong_false_positive
shortest_lived,90,8,7214,7217,7218,4,3,1323.441,1329.822,1326.6315,6.380999999999858,1.5834872913131013,0.6034494258035421,0.6034494258035421,0.5535734859529274,0.5535734859529274,3,2,1.0,0.8936471696343544,0.3000000000001819,0.0744469812559519,0.43096693308259854,0.9010566298006228,0.6824306615124786,0.0,0.4405302226252825,1,0,1,0.92660502533562,0,1,0.75,0.375,0.375,0.7179569152618386,0.6238472287542937,0.5679940730115834,0.7179569152618386,0.6004165142108076,0.7179569152618386,0.6183999675222838,0.25,1.0,0.8936471696343544,0,0,0,,7218.0,-1,,7218.0,1.0,-1,-1,1.0,0.4,0.41038626440580983,1,0.7166666666666667,0.8333333333333334,0.3731065303807246,0.0625,0.20515163259518115,0.19949661543130967,0.2764468741363023,0.3173993856290761,0.11342815839383882,strong_false_positive
shortest_lived,93,8,7369,7372,7373,4,3,1288.34,1294.273,1291.3065,5.932999999999993,1.6282910393149623,0.6451078158373506,0.6451078158373506,0.5849541663908868,0.5849541663908868,2,2,1.0,1.0,0.0,0.0,0.475139052755805,0.854626377284086,0.7736646620308764,0.0,0.3918304941729724,1,0,1,0.8728580257317613,0,1,0.375,0.5,0.375,0.730649622319706,0.6710623811406867,0.6096192919453713,0.730649622319706,0.645804213639954,0.730649622319706,0.6676577220276542,0.25,1.0,1.0,0,0,0,,7373.0,-1,,7373.0,1.0,-1,-1,1.0,0.2,0.2477342402828638,1,0.7166666666666667,0.8333333333333334,0.43172263576569786,0.0625,0.21980565894142445,0.2111505176046596,0.29296817147536014,0.3306573473129265,0.1252357622392106,strong_false_positive
