range_id,doctrine,mean_edge_mismatch_atr,inside_frac,chart_faithfulness_score,source_coherence_score,visual_plausibility_score,refresh_count
1,frozen,1.660874999999976,0.75,0.0,1.0,0.5833333333333334,0.0
1,fixed_horizon_recompute,0.492999999999995,1.0,0.6713333333333367,0.0,0.5571111111111122,1.0
1,bounded_continuity_refresh,0.492999999999995,1.0,0.6713333333333367,0.0,0.5571111111111122,1.0
2,frozen,0.32175000000000864,0.5,0.7854999999999942,1.0,0.7618333333333314,0.0
2,fixed_horizon_recompute,0.32175000000000864,0.5,0.7854999999999942,1.0,0.7618333333333314,0.0
2,bounded_continuity_refresh,0.32175000000000864,0.5,0.7854999999999942,1.0,0.7618333333333314,0.0
5,frozen,1.544999999999997,0.6666666666666666,0.0,1.0,0.5555555555555555,0.0
5,fixed_horizon_recompute,1.544999999999997,0.6666666666666666,0.0,1.0,0.5555555555555555,0.0
5,bounded_continuity_refresh,1.544999999999997,0.6666666666666666,0.0,1.0,0.5555555555555555,0.0
6,frozen,0.4404166666666735,0.8333333333333334,0.7063888888888843,1.0,0.8465740740740726,0.0
6,fixed_horizon_recompute,0.24858333333332894,0.8333333333333334,0.8342777777777807,0.8791999999999917,0.8489370370370352,1.0
6,bounded_continuity_refresh,0.24858333333332894,0.8333333333333334,0.8342777777777807,0.8791999999999917,0.8489370370370352,1.0
8,frozen,1.1069999999999935,0.8,0.26200000000000434,1.0,0.6873333333333349,0.0
8,fixed_horizon_recompute,1.1069999999999935,0.8,0.26200000000000434,0.9278750000000002,0.6632916666666683,1.0
8,bounded_continuity_refresh,1.1069999999999935,0.8,0.26200000000000434,0.9278750000000002,0.6632916666666683,1.0
9,frozen,6.842937499999958,0.9583333333333334,0.0,1.0,0.6527777777777778,0.0
9,fixed_horizon_recompute,0.5790416666666639,1.0,0.6139722222222241,0.1918478260869575,0.6019400161030606,6.0
9,bounded_continuity_refresh,2.13375000000003,1.0,0.0,0.4842826086956581,0.4947608695652194,3.0
11,frozen,2.0737857142857075,0.8571428571428571,0.0,1.0,0.6190476190476191,0.0
11,fixed_horizon_recompute,0.4378571428571344,1.0,0.7080952380952437,0.4326666666666673,0.7135873015873037,2.0
11,bounded_continuity_refresh,0.4378571428571344,1.0,0.7080952380952437,0.4326666666666673,0.7135873015873037,2.0
12,frozen,3.7956666666666856,0.6666666666666666,0.0,1.0,0.5555555555555555,0.0
12,fixed_horizon_recompute,3.7956666666666856,0.6666666666666666,0.0,1.0,0.5555555555555555,0.0
12,bounded_continuity_refresh,3.7956666666666856,0.6666666666666666,0.0,1.0,0.5555555555555555,0.0
13,frozen,3.001499999999993,0.75,0.0,1.0,0.5833333333333334,0.0
13,fixed_horizon_recompute,0.6055000000000064,1.0,0.5963333333333292,0.0,0.5321111111111098,1.0
13,bounded_continuity_refresh,3.001499999999993,0.75,0.0,1.0,0.5833333333333334,0.0
14,frozen,3.3834285714285346,0.8571428571428571,0.0,1.0,0.6190476190476191,0.0
14,fixed_horizon_recompute,0.8051428571428525,1.0,0.46323809523809834,0.24800000000000944,0.5704126984127026,1.0
14,bounded_continuity_refresh,3.3834285714285346,0.8571428571428571,0.0,1.0,0.6190476190476191,0.0
15,frozen,2.310666666666672,0.3333333333333333,0.0,1.0,0.4444444444444444,0.0
15,fixed_horizon_recompute,2.310666666666672,0.3333333333333333,0.0,1.0,0.4444444444444444,0.0
15,bounded_continuity_refresh,2.310666666666672,0.3333333333333333,0.0,1.0,0.4444444444444444,0.0
16,frozen,1.2929999999999577,0.8571428571428571,0.1380000000000282,1.0,0.6650476190476285,0.0
16,fixed_horizon_recompute,0.5758571428571356,0.8571428571428571,0.6160952380952429,0.0,0.4910793650793666,2.0
16,bounded_continuity_refresh,1.2281428571428543,0.7142857142857143,0.18123809523809709,0.743500000000002,0.5463412698412712,1.0
17,frozen,0.6539285714285532,0.8571428571428571,0.5640476190476311,1.0,0.807063492063496,0.0
17,fixed_horizon_recompute,0.020214285714278697,1.0,0.9865238095238142,0.2842500000000049,0.7569246031746064,2.0
17,bounded_continuity_refresh,0.6134999999999958,0.8571428571428571,0.5910000000000029,0.9764166666666748,0.8081865079365116,1.0
19,frozen,1.4214999999999993,0.6666666666666666,0.05233333333333379,1.0,0.5730000000000001,0.0
19,fixed_horizon_recompute,1.4214999999999993,0.6666666666666666,0.05233333333333379,1.0,0.5730000000000001,0.0
19,bounded_continuity_refresh,1.4214999999999993,0.6666666666666666,0.05233333333333379,1.0,0.5730000000000001,0.0
20,frozen,1.4588333333333214,1.0,0.027444444444452376,1.0,0.6758148148148174,0.0
20,fixed_horizon_recompute,1.4588333333333214,1.0,0.027444444444452376,1.0,0.6758148148148174,0.0
20,bounded_continuity_refresh,1.4588333333333214,1.0,0.027444444444452376,1.0,0.6758148148148174,0.0
21,frozen,1.789999999999989,1.0,0.0,1.0,0.6666666666666666,0.0
