range_id,confirm_age_until_first_material_mismatch,bars_until_active_box_looks_stale,post_confirm_boundary_pressure,post_confirm_internal_containment_decay,post_confirm_relevance_decay,failure_classification,frozen_chart_faithfulness_score,recompute_chart_faithfulness_score,bounded_refresh_chart_faithfulness_score,frozen_visual_plausibility_score,recompute_visual_plausibility_score,bounded_refresh_visual_plausibility_score,frozen_source_coherence_score,recompute_source_coherence_score,bounded_refresh_source_coherence_score
1,2.0,2.0,0.3727115289460607,0.25,0.6786249999999919,active_box_remained_truthful,0.0,0.6713333333333367,0.6713333333333367,0.5833333333333334,0.5571111111111122,0.5571111111111122,1.0,0.0,0.0
2,1.0,1.0,0.678460049467683,0.5,0.3572500000000029,confirm_too_early,0.7854999999999942,0.7854999999999942,0.7854999999999942,0.7618333333333314,0.7618333333333314,0.7618333333333314,1.0,1.0,1.0
5,2.0,2.0,0.34488478170722764,0.33333333333333337,0.6816666666666658,confirm_too_late,0.0,0.0,0.0,0.5555555555555555,0.5555555555555555,0.5555555555555555,1.0,1.0,1.0
6,3.0,3.0,0.43281792363521693,0.16666666666666663,0.23013888888889114,active_box_remained_truthful,0.7063888888888843,0.8342777777777807,0.8342777777777807,0.8465740740740726,0.8489370370370352,0.8489370370370352,1.0,0.8791999999999917,0.8791999999999917
8,4.0,4.0,0.4101286795162083,0.19999999999999996,0.4689999999999978,active_box_remained_truthful,0.26200000000000434,0.26200000000000434,0.26200000000000434,0.6873333333333349,0.6632916666666683,0.6632916666666683,1.0,0.9278750000000002,0.9278750000000002
9,2.0,2.0,0.6005279366475972,0.04166666666666663,2.3018124999999863,active_box_remained_truthful,0.0,0.6139722222222241,0.0,0.6527777777777778,0.6019400161030606,0.4947608695652194,1.0,0.1918478260869575,0.4842826086956581
11,2.0,1.0,0.42903752039151577,0.1428571428571429,0.762690476190474,frozen_box_became_stale,0.0,0.7080952380952437,0.7080952380952437,0.6190476190476191,0.7135873015873037,0.7135873015873037,1.0,0.4326666666666673,0.4326666666666673
12,1.0,1.0,0.6715964505556107,0.33333333333333337,1.4318888888888952,confirm_too_late,0.0,0.0,0.0,0.5555555555555555,0.5555555555555555,0.5555555555555555,1.0,1.0,1.0
13,1.0,1.0,0.37302385743027744,0.25,1.1254999999999977,confirm_too_late,0.0,0.5963333333333292,0.0,0.5833333333333334,0.5321111111111098,0.5833333333333334,1.0,0.0,1.0
14,1.0,1.0,0.7688841770474358,0.1428571428571429,1.199238095238083,active_box_remained_truthful,0.0,0.46323809523809834,0.0,0.6190476190476191,0.5704126984127026,0.6190476190476191,1.0,0.24800000000000944,1.0
