range_id,candidate_lookback_bars,birth_idx,confirm_idx,end_idx,state,confirm_latency_bars,low,high,mid,width_abs,width_atr,strength_raw,strength,strength_raw_legacy,strength_legacy,upper_touches,lower_touches,close_inside_frac,boundary_stability_score,candidate_boundary_drift_abs,candidate_boundary_drift_atr,confirm_close_position_in_range,confirm_dist_to_upper_atr,confirm_dist_to_lower_atr,confirm_regime,range_recent_pressure_imbalance,range_recent_upper_pressure_count,range_recent_lower_pressure_count,range_recent_pressure_dominant_side,range_recent_equilibrium_score,range_recent_expansion_veto_flag,range_viability_gate_pass,range_recent_upper_touch_freshness,range_recent_lower_touch_freshness,range_recent_two_sided_freshness_score,range_strength_structure,range_strength_monitorability,range_strength_semantic,range_strength_formation,range_strength_viability,range_strength_formation_legacy,range_strength_viability_legacy,range_touch_quality_score,range_containment_quality_score,range_stability_quality_score,break_pending_count,reclaimed_count,total_pending_bars,mean_pending_duration_bars,first_breach_idx,first_breach_side,first_upper_breach_idx,first_lower_breach_idx,bars_to_first_breach,breakout_side_first,accepted_breakout_side,bars_to_breakout_accept,audit_range_recent_pressure_imbalance_legacy,audit_range_recent_pressure_imbalance_v2,duration_bars,rb_micro_box_risk_score,rb_late_confirm_fragility_score,rb_boundary_relevance_score,rb_monitor_worthiness_score,rb_plausibility_score,strength_repair_v1,strength_repair_v2,strength_repair_v3,strength_repair_v4,contract_bucket,later_meaningful_interaction_flag,later_nontrivial_breach_reclaim_flag,later_useful_event_overlap_flag,interpretive_value_flag,source_family_confluence_score
46,12,3865,3868,3875,4,3,1126.99,1137.058,1132.024,10.067999999999984,2.2598029644415476,0.7562820732058377,0.7562820732058377,0.6614712895378425,0.6614712895378425,3,4,1.0,1.0,0.0,0.0,0.46136273341279194,1.217214091792465,1.0425888726490828,0.0,0.4696828089978813,0,2,-1,0.5940934975499931,0,1,0.25,0.9166666666666666,0.25,0.7759970792476687,0.7753751476246455,0.7370894897273462,0.7759970792476687,0.753989654252472,0.7759970792476687,0.754024439926889,0.5,1.0,1.0,1,0,2,2.0,3874.0,1,3874.0,,6.0,1,1,7.0,0.8,0.5006130324125769,7,0.16666666666666669,0.43333333333333335,0.7861184775341347,0.5208333333333334,0.6588212860502003,0.6422074819934497,0.8942508780555585,0.6822916666666666,0.5746940014335906,unclassified,1,1,1,1,0.5
47,16,3925,3929,3934,4,4,1170.731,1187.584,1179.1575,16.853000000000065,2.777884320153191,0.6092329208504015,0.6092329208504015,0.4663071278239094,0.4663071278239094,2,4,0.9375,0.6333704142137859,1.5570000000000164,0.2566407100503499,0.7889989912775158,0.5861363936666955,2.1917479264864954,2.0,0.5449912334576388,2,0,1,0.45214501869104406,0,1,1.0,0.5,0.5,0.6098717094903839,0.6186625096430162,0.601209860082208,0.6098717094903839,0.6094818542197182,0.6098717094903839,0.6076645316481427,0.25,0.9375,0.6333704142137859,2,1,4,2.0,3931.0,1,3931.0,,2.0,1,1,5.0,0.6,0.502388190553561,5,0.3,0.48148148148148145,0.430535066637207,0.5625,0.5482124703630055,0.5039173990821552,0.7750761678328777,0.5856109769315783,0.4382028913690431,fragile_but_plausible,1,1,0,1,0.5
48,8,4201,4204,4206,4,3,1197.094,1207.572,1202.333,10.477999999999838,2.4307722146408,0.6769986253195627,0.6769986253195627,0.614821765457774,0.614821765457774,2,2,1.0,1.0,0.0,0.0,0.2728574155373132,1.767517990394,0.6632542242467998,2.0,0.5148569225165739,0,1,-1,0.9179868931729896,0,1,0.375,0.625,0.375,0.7556272628605482,0.6999639406023224,0.6451271784754868,0.7556272628605482,0.6759222703008296,0.7556272628605482,0.6894291133485302,0.25,1.0,1.0,0,0,0,,4206.0,1,4206.0,,2.0,1,1,2.0,0.6,0.4222118232363938,2,0.5666666666666667,0.7000000000000001,0.5389540612870257,0.125,0.3251551819884231,0.29828189439755165,0.37758221679586756,0.4214556348633078,0.20274151096847928,weak_false_positive,0,0,0,0,1.0
49,8,4261,4264,4271,4,3,1247.211,1258.376,1252.7935,11.164999999999964,2.5252861696920355,0.6664004716027561,0.6664004716027561,0.6062146394092685,0.6062146394092685,2,3,0.875,1.0,0.0,0.0,0.5331840573219878,1.178843843836534,1.3464423258555012,0.0,0.4019404651435187,0,1,-1,0.7413643827437054,0,1,0.375,0.75,0.375,0.7312655440083737,0.6910075118492772,0.6353521462107795,0.7312655440083737,0.6735418135473992,0.7312655440083737,0.7149897516168825,0.25,0.875,1.0,1,0,2,2.0,4270.0,-1,,4270.0,6.0,-1,-1,7.0,0.6,0.356199329802175,7,0.2666666666666667,0.43333333333333335,0.6374449673669162,0.5208333333333334,0.6016529085083957,0.5623854082471266,0.8355156911717142,0.646747628042233,0.49208038540757304,fragile_but_plausible,1,1,1,1,1.0
50,8,4276,4280,4283,4,4,1239.352,1250.557,1244.9545,11.204999999999927,2.8126910256189923,0.6368382753086683,0.6368382753086683,0.5121660494552951,0.5121660494552951,3,2,1.0,1.0,0.0,0.0,0.7338688085676046,0.7485448137791886,2.064146211839804,1.0,0.7219192734379798,3,0,1,0.48234419158115416,0,1,0.875,0.5,0.5,0.6559460653246959,0.6603910882956779,0.6139966659970157,0.6559460653246959,0.636690143346235,0.6559460653246959,0.6346752081457869,0.25,1.0,1.0,0,0,0,,4283.0,1,4283.0,,3.0,1,1,3.0,0.6,0.45283078468866067,3,0.35,0.6071428571428571,0.4571748027655784,0.1875,0.38849012926282317,0.36329399178603666,0.4043259923097991,0.47037420690640863,0.259405695503612,unclassified,1,0,1,1,1.0
51,8,4343,4346,4358,7,3,1278.808,1292.322,1285.565,13.513999999999896,2.419547250812737,0.6924184381929661,0.6924184381929661,0.6410097886822357,0.6410097886822357,2,2,0.75,0.8982029423641291,0.39800000000013824,0.0712579403451096,0.4383602190321166,1.35891398798791,1.060633262824827,2.0,0.40170303166111054,1,0,1,0.8036110700014731,0,1,0.75,0.625,0.625,0.7304374575103648,0.714616930537653,0.6676886615326454,0.7304374575103648,0.6823738523645093,0.7304374575103648,0.795949518769807,0.25,0.75,0.8982029423641291,4,4,8,2.0,4348.0,-1,,4348.0,2.0,-1,0,,0.0,0.06529052063788476,12,0.3666666666666667,0.2333333333333333,0.7077793748437045,0.8333333333333333,0.7486115103775928,0.6504866635487326,0.9733889335615368,0.7206666666666667,0.6178993359715328,unclassified,1,1,1,1,1.0
52,5,4353,4358,4361,4,5,1276.361,1283.362,1279.8615,7.000999999999976,1.4050477226724674,0.6653991317618824,0.6653991317618824,0.6026366635034724,0.6026366635034724,2,2,1.0,1.0,0.0,0.0,0.5556349092986553,0.6243541587250688,0.7806935639473986,0.0,0.5124216309811759,1,0,1,0.6928534018949977,0,1,0.4,0.4,0.4,0.7355558229683674,0.6856303092110864,0.6371798721115134,0.7355558229683674,0.6688888257880135,0.7355558229683674,0.6988237662948681,0.25,1.0,1.0,1,0,2,2.0,4360.0,1,4360.0,,2.0,1,1,3.0,0.2,0.4348698650412021,3,0.4,0.7083333333333334,0.4304578953857308,0.2708333333333333,0.3807394738464327,0.37333702426393134,0.4305897486070717,0.487965839712339,0.2706666301682893,unclassified,1,0,1,1,1.0
53,5,4574,4578,4581,4,4,1262.41,1270.274,1266.342,7.863999999999805,1.6459360706067496,0.6608362322449819,0.6608362322449819,0.4994734305063577,0.4994734305063577,2,2,0.8,0.7581088720533276,0.8089999999999691,0.16932378956267072,0.3565615462868679,1.0590585601818754,0.586877510424874,2.0,0.4727603491295061,0,1,-1,0.9253136656493731,0,1,0.4,1.0,0.4,0.630211395188727,0.6769533349050523,0.6521978399395236,0.630211395188727,0.66251014689783,0.630211395188727,0.6542483847999981,0.25,0.8,0.7581088720533276,1,0,0,0.0,4580.0,-1,,4580.0,2.0,-1,0,3.0,0.2,0.2808088470426485,3,0.4,0.6904761904761904,0.47678257768078514,0.2708333333333333,0.3958920729916249,0.37273276163527885,0.42722423065888343,0.47601679471683334,0.28360022223579734,unclassified,1,0,1,1,0.5
54,8,4647,4650,4653,4,3,1245.956,1254.72,1250.338,8.764000000000124,2.009760749462786,0.6720446318400911,0.6720446318400911,0.5573331229266744,0.5573331229266744,2,2,1.0,0.9046683872182399,0.29099999999994,0.06673212894723206,0.7058420812414493,0.5911870392645981,1.418573710198188,0.0,0.45085622669896247,0,0,0,0.9720066940514448,0,1,0.625,0.25,0.25,0.6975913849047297,0.694794066254358,0.6488476264417647,0.6975913849047297,0.6704364199417154,0.6975913849047297,0.6648987143163317,0.25,1.0,0.9046683872182399,1,0,2,2.0,4652.0,-1,,4652.0,2.0,-1,-1,3.0,0.4,0.4423191134388542,3,0.4666666666666667,0.6666666666666666,0.5467488620761768,0.2708333333333333,0.4048122155190442,0.37277053917612446,0.44599097604928933,0.4840654959664601,0.285458766669311,unclassified,1,0,1,1,0.5
56,16,4887,4890,4897,7,3,1281.881,1293.168,1287.5245,11.286999999999807,2.6361215717408273,0.6955993291901762,0.6955993291901762,0.6032647268353559,0.6032647268353559,3,3,0.9375,0.8094868410605871,0.5710000000001401,0.133359211257589,0.7027553822982326,0.7835729488074843,1.852548622933343,0.0,0.5617933741894958,1,0,1,0.6451670062904071,0,1,0.1875,0.5625,0.1875,0.7291853045619242,0.7098874750232105,0.6782235306309476,0.7291853045619242,0.697682180908241,0.7291853045619242,0.7121888932328888,0.5,0.9375,0.8094868410605871,0,0,0,,,0,,,,0,0,,0.2,0.49747634487134057,7,0.3666666666666667,0.7666666666666666,0.49946380030625115,0.14583333333333334,0.3492409500765628,0.3537386367025737,0.3987352267189933,0.4699213992267238,0.24059009510879306,unclassified,0,0,1,1,0.5
