row_idx,timestamp,side,active_id,detect_idx,age_anchor_idx,active_since_idx,low,high,width,width_atr,base_quality,age_bars,age_decay,effective_significance,source_count,source_event_id,touch_count,fill_pct,state,historical_touch_count,historical_fill_pct,historical_state,first_touch_idx,last_touch_idx,first_partial_fill_idx,historical_first_touch_idx,historical_last_touch_idx,historical_first_partial_fill_idx,max_single_bar_fill_jump,historical_max_single_bar_fill_jump,all_touch_bars_closed_outside,historical_all_touch_bars_closed_outside,last_touch_rejection_flag,historical_last_touch_rejection_flag,bounce_raw_max,historical_bounce_raw_max,component_id,component_low,component_high,component_member_count,component_entered_this_row,component_owned_this_row,touch_delta,fill_delta,entered_this_row,ownership_blocked_by_higher_component,ownership_blocked_by_lower_component,selected,in_window
17717,2026-01-12 14:00:00+00:00,bull,2875,17706,17706,17706,4436.175,4444.785,8.609999999999673,0.25191297646775385,0.48663379449540306,11,0.5297315471796477,0.04450729730186322,1,2875,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,2,4436.175,4444.785,1,0,0,0,0.0,0,0,0,0,1
17717,2026-01-12 14:00:00+00:00,bull,2877,17714,17713,17714,4511.235,4561.935,50.70000000000073,1.4487453591454766,0.5963609441068125,4,0.7937005259840998,0.18766287797511833,2,0,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,3,4511.235,4561.935,1,0,0,0,0.0,0,0,0,1,1
17718,2026-01-12 18:00:00+00:00,bull,2873,17684,17684,17684,4333.745,4388.8,55.05500000000029,1.2774828172175856,0.5822499374649973,34,0.1403077560386716,0.011841487749798374,1,2873,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,1,4333.745,4388.8,1,0,0,0,0.0,0,0,0,0,1
17718,2026-01-12 18:00:00+00:00,bull,2875,17706,17706,17706,4436.175,4444.785,8.609999999999673,0.25191297646775385,0.48663379449540306,12,0.5,0.04576403455220022,1,2875,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,2,4436.175,4444.785,1,0,0,0,0.0,0,0,0,0,1
17718,2026-01-12 18:00:00+00:00,bull,2877,17714,17713,17714,4511.235,4561.935,50.70000000000073,1.4487453591454766,0.5963609441068125,5,0.7491535384383408,0.22271917398606988,2,0,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,3,4511.235,4561.935,1,0,0,0,0.0,0,0,0,1,1
17719,2026-01-12 22:00:00+00:00,bull,2873,17684,17684,17684,4333.745,4388.8,55.05500000000029,1.2774828172175856,0.5822499374649973,35,0.1324328867949119,0.011923404549603115,1,2873,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,1,4333.745,4388.8,1,0,0,0,0.0,0,0,0,0,1
17719,2026-01-12 22:00:00+00:00,bull,2875,17706,17706,17706,4436.175,4444.785,8.609999999999673,0.25191297646775385,0.48663379449540306,13,0.47193715634084676,0.0473677251759939,1,2875,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,2,4436.175,4444.785,1,0,0,0,0.0,0,0,0,0,1
17719,2026-01-12 22:00:00+00:00,bull,2877,17714,17713,17714,4511.235,4561.935,50.70000000000073,1.4487453591454766,0.5963609441068125,6,0.7071067811865476,0.2885208994464699,2,0,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,3,4511.235,4561.935,1,0,0,0,0.0,0,0,0,1,1
17720,2026-01-13 02:00:00+00:00,bull,2873,17684,17684,17684,4333.745,4388.8,55.05500000000029,1.2774828172175856,0.5822499374649973,36,0.125,0.010401587787409272,1,2873,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,1,4333.745,4388.8,1,0,0,0,0.0,0,0,0,0,1
17720,2026-01-13 02:00:00+00:00,bull,2875,17706,17706,17706,4436.175,4444.785,8.609999999999673,0.25191297646775385,0.48663379449540306,14,0.44544935907016964,0.04054361104900742,1,2875,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,2,4436.175,4444.785,1,0,0,0,0.0,0,0,0,0,1
17720,2026-01-13 02:00:00+00:00,bull,2877,17714,17713,17714,4511.235,4561.935,50.70000000000073,1.4487453591454766,0.5963609441068125,7,0.6674199270850172,0.21027747468827182,2,0,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,3,4511.235,4561.935,1,0,0,0,0.0,0,0,0,1,1
17721,2026-01-13 06:00:00+00:00,bull,2873,17684,17684,17684,4333.745,4388.8,55.05500000000029,1.2774828172175856,0.5822499374649973,37,0.11798428908521168,0.009888821073251666,1,2873,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,1,4333.745,4388.8,1,0,0,0,0.0,0,0,0,0,1
17721,2026-01-13 06:00:00+00:00,bull,2875,17706,17706,17706,4436.175,4444.785,8.609999999999673,0.25191297646775385,0.48663379449540306,15,0.42044820762685725,0.03890346209222577,1,2875,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,2,4436.175,4444.785,1,0,0,0,0.0,0,0,0,0,1
17721,2026-01-13 06:00:00+00:00,bull,2877,17714,17713,17714,4511.235,4561.935,50.70000000000073,1.4487453591454766,0.5963609441068125,8,0.6299605249474366,0.2174138418845032,2,0,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,3,4511.235,4561.935,1,0,0,0,0.0,0,0,0,1,1
17722,2026-01-13 10:00:00+00:00,bull,2873,17684,17684,17684,4333.745,4388.8,55.05500000000029,1.2774828172175856,0.5822499374649973,38,0.11136233976754242,0.008560310227573309,1,2873,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,1,4333.745,4388.8,1,0,0,0,0.0,0,0,0,0,1
17722,2026-01-13 10:00:00+00:00,bull,2875,17706,17706,17706,4436.175,4444.785,8.609999999999673,0.25191297646775385,0.48663379449540306,16,0.3968502629920499,0.03260908434368016,1,2875,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,2,4436.175,4444.785,1,0,0,0,0.0,0,0,0,0,1
17722,2026-01-13 10:00:00+00:00,bull,2877,17714,17713,17714,4511.235,4561.935,50.70000000000073,1.4487453591454766,0.5963609441068125,9,0.5946035575013605,0.14386087880035148,2,0,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,3,4511.235,4561.935,1,0,0,0,0.0,0,0,0,1,1
17723,2026-01-13 14:00:00+00:00,bull,2873,17684,17684,17684,4333.745,4388.8,55.05500000000029,1.2774828172175856,0.5822499374649973,39,0.10511205190671431,0.009024592141848807,1,2873,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,1,4333.745,4388.8,1,0,0,0,0.0,0,0,0,0,1
17723,2026-01-13 14:00:00+00:00,bull,2875,17706,17706,17706,4436.175,4444.785,8.609999999999673,0.25191297646775385,0.48663379449540306,17,0.3745767692191704,0.03520930132994513,1,2875,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,2,4436.175,4444.785,1,0,0,0,0.0,0,0,0,0,1
17723,2026-01-13 14:00:00+00:00,bull,2877,17714,17713,17714,4511.235,4561.935,50.70000000000073,1.4487453591454766,0.5963609441068125,10,0.5612310241546865,0.18394551999719047,2,0,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,3,4511.235,4561.935,1,0,0,0,0.0,0,0,0,1,1
17724,2026-01-13 18:00:00+00:00,bull,2873,17684,17684,17684,4333.745,4388.8,55.05500000000029,1.2774828172175856,0.5822499374649973,40,0.09921256574801246,0.008621091400185875,1,2873,0,0.0,1,0,0.0,1,,,,,,,0.0,0.0,1,1,,,0.0,0.0,1,4333.745,4388.8,1,0,0,0,0.0,0,0,0,0,1
