row_idx,timestamp,structural_selected_id,fill_rep_id,structural_selected_fill_pct,fill_rep_fill_pct,structural_selected_remaining_width,fill_rep_remaining_width,structural_selected_remaining_frac,fill_rep_remaining_frac
17743,2026-01-18 22:00:00+00:00,2879,2877,0.0,0.49921104536489225,26.610000000000582,25.390000000000327,1.0,0.5007889546351078
17781,2026-01-27 06:00:00+00:00,2884,2888,0.0,0.9698410224438981,65.03499999999985,1.9349999999994911,1.0,0.030158977556101862
17784,2026-01-27 18:00:00+00:00,2884,2888,0.0,0.9698410224438981,65.03499999999985,1.9349999999994911,1.0,0.030158977556101862
17785,2026-01-27 22:00:00+00:00,2889,2888,0.0,0.9698410224438981,53.95499999999993,1.9349999999994911,1.0,0.030158977556101862
17788,2026-01-28 10:00:00+00:00,2889,2891,0.0,0.5016016581873004,53.95499999999993,13.225000000000364,1.0,0.49839834181269954
17789,2026-01-28 14:00:00+00:00,2889,2891,0.0,0.6074995289240409,53.95499999999993,10.415000000000875,1.0,0.3925004710759591
17790,2026-01-28 18:00:00+00:00,2889,2891,0.0,0.6074995289240409,53.95499999999993,10.415000000000875,1.0,0.3925004710759591
17791,2026-01-28 22:00:00+00:00,2892,2891,0.0,0.6074995289240409,125.39000000000033,10.415000000000875,1.0,0.3925004710759591
17816,2026-02-04 02:00:00+00:00,2899,2898,0.0,0.07607391408687467,71.41999999999916,38.5,1.0,0.9239260859131253
17820,2026-02-04 18:00:00+00:00,2897,2898,0.0,0.26253899688026133,32.845000000000255,30.72999999999956,1.0,0.7374610031197386
17821,2026-02-04 22:00:00+00:00,2897,2898,0.0,0.26253899688026133,32.845000000000255,30.72999999999956,1.0,0.7374610031197386
17879,2026-02-18 14:00:00+00:00,2908,2907,0.0,0.33879641485274803,9.860000000000582,12.909999999999854,1.0,0.661203585147252
17880,2026-02-18 18:00:00+00:00,2908,2907,0.0,0.33879641485274803,9.860000000000582,12.909999999999854,1.0,0.661203585147252
17898,2026-02-23 18:00:00+00:00,2912,2911,0.0,0.39287845633578805,35.465000000000146,45.779999999999745,1.0,0.6071215436642119
