nearest_distance_atr_bucket,sweep_count,tradeable_count
"[0.00, 0.10)",890,174
"[0.10, 0.25)",791,172
"[0.25, 0.50)",541,137
"[0.50, 1.00)",294,84
"[1.00, 2.00)",83,25
"[2.00, inf)",10,1
