family_group,active_source_rows,sweep_count,tradeable_count,sweep_per_active,tradeable_per_sweep
eqh_eql,11928,87,23,0.007293762575452716,0.26436781609195403
prior_period,30212,1007,252,0.033331126704620684,0.2502482621648461
s_r,89125,643,109,0.0072145862552594675,0.16951788491446346
session,16193,788,190,0.04866300253195825,0.24111675126903553
swing,6256,84,19,0.013427109974424553,0.2261904761904762
