confirm_idx,breach_idx,side_label,source_cluster_id_raw,family,level,strength,age_bars,origin_idx,active_start_idx,sweep_class,tradeable,selectivity_class,micro_interaction,standard_liquidity,displacement_confirmed,quality,pre_breach_distance_atr,followed_by_displacement,followed_by_bos,followed_by_choch,followthrough_available,penetration_atr,active_source_count,nearest_source_distance_atr_signed,nearest_source_distance_atr_abs,session_source_type,session_source_scope,breach_session_phase,historical_max_distance_atr,source_level_key,source_instance_key,family_group
14766,14765,above,14765101.0,previous_day_high,1927.946,0.5,1.0,14764,14764,4,0,standard_liquidity_sweep,0,1,0,0.5636955016505468,0.219510850585683,0,0,0,1,0.6050111359859226,9.0,-0.15053594615763136,0.15053594615763136,,,Asia,0.219510850585683,previous_day_high|above|1927.946,previous_day_high|above|1927.946|14764,prior_period
14778,14777,below,14777201.0,previous_week_low,1909.521,0.55,13.0,14764,14764,4,0,standard_liquidity_sweep,0,1,0,0.5942972791103902,0.817982258038978,0,0,0,1,0.48089135667299115,6.0,-0.2893307721113967,0.2893307721113967,,,Asia,2.4318844479947814,previous_week_low|below|1909.521,previous_week_low|below|1909.521|14764,prior_period
14779,14777,below,14777202.0,previous_day_low,1910.835,0.6,2.0,14774,14775,4,0,standard_liquidity_sweep,0,1,0,0.6440232093358632,0.6408808101788218,0,0,0,1,0.48089135667299115,6.0,-0.2893307721113967,0.2893307721113967,,,Asia,0.6408808101788218,previous_day_low|below|1910.835,previous_day_low|below|1910.835|14775,prior_period
14785,14784,below,14784201.0,previous_day_low,1902.82,0.65,5.0,14778,14779,4,1,tradeable_sweep_candidate,0,1,0,0.7328486580953535,0.32195132831502427,0,0,0,1,1.1775850759245399,6.0,-0.39047538605445,0.39047538605445,,,London,1.162027196322646,previous_day_low|below|1902.82,previous_day_low|below|1902.82|14779,prior_period
14796,14795,below,14795201.0,previous_day_low,1916.02,0.5,1.0,14794,14794,4,0,displacement_confirmed_sweep,0,1,1,0.6113244647835282,0.13105940867728702,1,0,1,1,0.8389083690132141,9.0,-0.40614929384614246,0.40614929384614246,,,Asia,0.13105940867728702,previous_day_low|below|1916.02,previous_day_low|below|1916.02|14794,prior_period
14797,14796,above,14796101.0,swing_high,1922.75,0.4,3.0,14791,14793,4,0,standard_liquidity_sweep,0,1,0,0.5722226361306532,1.348695758530439,0,0,0,1,0.8584788900444686,9.0,-0.4101549482202007,0.4101549482202007,,,London,1.348695758530439,swing_high|above|1922.75,swing_high|above|1922.75|14793,swing
14803,14801,above,14801102.0,session_high,1927.025,0.45,4.0,14797,14797,4,0,standard_liquidity_sweep,0,1,0,0.5118256270346091,0.4855470610981668,0,0,0,1,0.518256270346091,9.0,0.33533027976802626,0.33533027976802626,prev_london_high,completed_previous_session_only,Asia,0.8086813168331267,session_high|above|1927.025,session_high|above|1927.025|14797,session
14808,14808,above,14808102.0,previous_day_high,1930.735,0.6,9.0,14797,14799,3,0,displacement_confirmed_sweep,0,1,1,0.6853376971832977,0.2906631747136533,0,0,1,1,0.6158476520518983,10.0,0.8459396082396765,0.8459396082396765,,,London,1.2776040466776741,previous_day_high|above|1930.735,previous_day_high|above|1930.735|14799,prior_period
14815,14814,above,14814101.0,resistance,1921.4225000000001,0.6268430001250259,4.0,14811,14810,4,0,standard_liquidity_sweep,0,1,0,0.6970210160238339,0.6645173359307549,0,0,0,1,0.728102659925775,10.0,1.4139752627691038,1.4139752627691038,,,London,0.9757446529911558,resistance|above|1921.4225,resistance|above|1921.4225|14810,s_r
14821,14821,above,14821101.0,resistance,1927.7309754307212,0.8012048205901623,7.0,14814,14814,3,1,tradeable_sweep_candidate,0,1,0,0.7733008275537525,0.6142964026425185,0,0,0,1,0.775799911717034,7.0,0.09546895355140282,0.09546895355140282,,,Overlap,2.443958026887071,resistance|above|1927.731,resistance|above|1927.731|14814,s_r
14826,14826,below,14826201.0,support,1922.84,0.55,3.0,11162,14823,3,0,displacement_confirmed_sweep,0,1,1,0.6745614334276977,0.05928972397090631,0,1,0,1,1.2784556057619247,7.0,0.024631442018851504,0.024631442018851504,,,London,0.29533612847852037,support|below|1922.84,support|below|1922.84|14823,s_r
14832,14831,above,14831101.0,equal_high,1934.9625,0.65,8.0,2643,14823,4,1,tradeable_sweep_candidate,0,1,0,0.6189483021866772,0.8991278915074481,0,0,0,1,0.492325343742354,8.0,-0.47226764455284403,0.47226764455284403,,,Asia,2.082515717165629,equal_high|above|1934.9625,equal_high|above|1934.9625|14823,eqh_eql
14837,14836,above,14836101.0,session_high,1938.42,0.55,4.0,14832,14832,4,0,micro_interaction_sweep,1,0,0,0.5202142409906951,0.13163529464924548,1,0,0,1,0.40261893581007085,10.0,-0.03103036114140273,0.03103036114140273,prev_london_high,completed_previous_session_only,Asia,0.9145198863526757,session_high|above|1938.42,session_high|above|1938.42|14832,session
14844,14843,above,14843101.0,previous_day_high,1959.92,0.5,1.0,14842,14842,4,1,tradeable_sweep_candidate,0,1,0,0.6456976173127738,0.6421444769875424,0,0,0,1,0.48716070994860106,9.0,-0.011329318836004243,0.011329318836004243,,,Asia,0.6421444769875424,previous_day_high|above|1959.92,previous_day_high|above|1959.92|14842,prior_period
14851,14851,below,14851201.0,session_low,1958.84,0.45,4.0,14847,14847,3,0,standard_liquidity_sweep,0,1,0,0.6854489695427458,0.1631020614999913,0,0,0,1,1.117220737020055,10.0,0.2023645108564751,0.2023645108564751,prev_ny_low,completed_previous_session_only,Overlap,0.5840089088440671,session_low|below|1958.84,session_low|below|1958.84|14847,session
14855,14853,below,14853202.0,session_low,1954.34,0.55,3.0,14850,14850,4,0,micro_interaction_sweep,1,0,0,0.5087149226305827,0.132652813930514,0,0,0,1,0.43428730657645687,10.0,0.1252601325323454,0.1252601325323454,prev_asia_low,completed_previous_session_only,Dead,0.8347536072829359,session_low|below|1954.34,session_low|below|1954.34|14850,session
14856,14855,above,14855102.0,previous_day_high,1955.93,0.5,1.0,14854,14854,4,0,standard_liquidity_sweep,0,1,0,0.5724422076684959,0.2839153913360791,0,0,0,1,0.47796128546396294,9.0,0.3250997932660177,0.3250997932660177,,,Asia,0.2839153913360791,previous_day_high|above|1955.93,previous_day_high|above|1955.93|14854,prior_period
