selectivity_class,sweep_count,tradeable_count,followed_by_displacement_count,followed_by_bos_count,followed_by_choch_count,quality_mean,quality_p50,quality_p90,tradeable_rate,displacement_rate,bos_rate,choch_rate
standard_liquidity_sweep,1148,0,0,0,0,0.5494331410991932,0.5459521044867424,0.6436224423556449,0.0,0.0,0.0,0.0
tradeable_sweep_candidate,593,593,126,26,49,0.6422343476755394,0.6381019909633889,0.7171038424600447,1.0,0.21247892074198987,0.04384485666104553,0.08263069139966273
micro_interaction_sweep,472,0,98,24,38,0.5188790705745616,0.516033974748253,0.5923149346784314,0.0,0.2076271186440678,0.05084745762711865,0.08050847457627118
displacement_confirmed_sweep,396,0,247,102,126,0.55384091828499,0.5512320119657532,0.656445633440647,0.0,0.6237373737373737,0.25757575757575757,0.3181818181818182
