age_bucket,sweep_count,tradeable_count
"[0.00, 1.00)",0,0
"[1.00, 3.00)",0,0
"[3.00, 5.00)",546,131
"[5.00, 10.00)",238,59
"[10.00, 20.00)",4,0
"[20.00, 50.00)",0,0
"[50.00, inf)",0,0
