timestamp,open,high,low,close,atr_14,sweep_flag,sweep_side,sweep_class,sweep_breach_idx,sweep_confirm_idx,sweep_latency_bars,sweep_event_id,sweep_source_id,sweep_source_cluster_id,sweep_primary_family,sweep_attribution_families,sweep_source_side,sweep_source_level,sweep_source_strength,sweep_quality_score,sweep_is_tradeable_candidate,sweep_invalidated_flag,sweep_research_followthrough_available,sweep_breach_flag,sweep_breach_side,sweep_breach_event_id,sweep_breach_source_id,sweep_breach_source_cluster_id,sweep_breach_source_family,sweep_breach_source_level,sweep_breach_source_strength,sweep_breach_timestamp,penetration_abs,penetration_atr,penetration_source_width_frac,breach_by_wick,breach_by_close,breach_gap_flag,sweep_q_source_strength,sweep_q_penetration,sweep_q_rejection,sweep_q_displacement_followthrough,sweep_q_regime_context,sweep_q_volume_confirmation,sweep_q_crowding,sweep_followed_by_displacement,sweep_displacement_within_bars,sweep_displacement_strength,sweep_followed_by_bos,sweep_bos_within_bars,sweep_bos_strength,sweep_followed_by_choch,sweep_choch_within_bars,sweep_choch_strength,sweep_interaction_phase_above_l1,sweep_interaction_phase_above_l2,sweep_interaction_phase_above_l3,sweep_interaction_phase_above_l4,sweep_interaction_phase_above_l5,sweep_interaction_phase_below_l1,sweep_interaction_phase_below_l2,sweep_interaction_phase_below_l3,sweep_interaction_phase_below_l4,sweep_interaction_phase_below_l5
2014-01-06 15:00:00+00:00,1244.892,1248.361,1213.125,1238.67,11.91229953665138,1.0,-1.0,3.0,16.0,16.0,0.0,2.0,16202.0,16202.0,support,previous_day_low|support,-1.0,1232.849,0.55,0.6875000000000001,0.0,0.0,1.0,1.0,1.0,,16102.0,16102.0,previous_week_high,1246.345,0.65,2014-01-06 15:00:00+00:00,2.0160000000000764,0.16923684581615098,,1.0,0.0,0.0,0.55,1.0,1.0,0.5,0.5,0.5,0.5,0.0,,,0.0,,,0.0,,,0.0,2.0,,,,3.0,3.0,0.0,0.0,
2014-01-07 11:00:00+00:00,1239.07,1240.493,1225.363,1228.12,10.67850444729483,,,,,,,,,,,,,,,,,,,1.0,-1.0,,21204.0,21204.0,session_low,1236.127,0.5,2014-01-07 11:00:00+00:00,9.738000000000056,0.9119254524885242,9.491228070176975,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,0.0
2014-01-08 07:00:00+00:00,1226.403,1228.997,1221.177,1226.228,9.084533374764682,1.0,-1.0,3.0,26.0,26.0,0.0,5.0,26201.0,26201.0,support,previous_day_low|session_low|support|swing_low,-1.0,1225.8113442936278,0.7,0.5541898387365514,0.0,0.0,1.0,1.0,-1.0,,26201.0,26201.0,support,1225.8113442936278,0.7,2014-01-08 07:00:00+00:00,2.9635944146189104,0.3262241760101054,0.8869054703677549,1.0,0.0,0.0,0.7,0.6524483520202108,0.6631120880050527,0.5,0.5,0.0703350166584249,0.33333333333333337,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,,
2014-01-08 11:00:00+00:00,1226.238,1231.926,1219.141,1221.416,9.348852419424338,,,,,,,,,,,,,,,,,,,1.0,-1.0,,27203.0,27203.0,previous_day_low,1224.974,0.6,2014-01-08 11:00:00+00:00,5.832999999999856,0.6239268455966307,14.994858611820055,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
2014-01-09 23:00:00+00:00,1227.994,1233.799,1227.474,1233.476,7.471551996624622,,,,,,,,,,,,,,,,,,,1.0,1.0,,36101.0,36101.0,previous_day_high,1231.926,0.55,2014-01-09 23:00:00+00:00,1.8730000000000473,0.25068419531125546,4.407058823529995,1.0,1.0,0.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-01-10 11:00:00+00:00,1233.28,1245.276,1226.617,1243.402,8.063480224702746,,,2.0,36.0,,,,36101.0,36101.0,previous_day_high,previous_day_high|session_high,1.0,1231.926,0.55,,,,,1.0,1.0,,39103.0,39103.0,previous_day_high,1233.799,0.5,2014-01-10 11:00:00+00:00,11.47700000000009,1.4233308298865681,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,3.0,,,0.0,0.0,0.0,0.0,
2014-01-12 23:00:00+00:00,1247.204,1253.987,1247.068,1251.295,7.571407453962079,,,2.0,39.0,,,,39103.0,39103.0,previous_day_high,previous_day_high,1.0,1233.799,0.5,,,,,1.0,1.0,,42101.0,42101.0,previous_day_high,1248.954,0.6,2014-01-12 23:00:00+00:00,5.033000000000129,0.6647377030761151,6.87568306010974,1.0,1.0,0.0,,,,,,,,,,,,,,,,,3.0,,,,,0.0,0.0,0.0,0.0,0.0
2014-01-13 07:00:00+00:00,1249.197,1250.427,1245.097,1246.272,7.136953365916274,1.0,1.0,4.0,42.0,44.0,2.0,9.0,42101.0,42101.0,previous_day_high,previous_day_high|session_high|swing_high,1.0,1248.954,0.6,0.5764737703076115,0.0,0.0,1.0,1.0,-1.0,,44201.0,44201.0,previous_day_low,1247.068,0.5,2014-01-13 07:00:00+00:00,1.9710000000000036,0.27616826101356456,,1.0,1.0,0.0,0.6,1.0,0.6323688515380576,0.5,0.5,0.0,0.5,0.0,,,0.0,,,0.0,,,0.0,,,,,3.0,0.0,0.0,0.0,0.0
2014-01-14 15:00:00+00:00,1252.174,1255.26,1241.643,1244.545,6.850669428300905,,,,,,,,,,,,,,,,,,,1.0,-1.0,,52201.0,52201.0,support,1244.3148669911297,0.6,2014-01-14 15:00:00+00:00,1.499210763358633,0.21884149849140588,0.6392371130831082,1.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,2.0,0.0,0.0,0.0,0.0
2014-01-14 19:00:00+00:00,1244.577,1245.505,1241.677,1243.797,6.634764469136569,1.0,-1.0,3.0,53.0,53.0,0.0,12.0,53201.0,53201.0,support,previous_day_low|support,-1.0,1243.648,0.55,0.47166869294855923,0.0,0.0,1.0,1.0,-1.0,,53201.0,53201.0,support,1243.648,0.55,2014-01-14 19:00:00+00:00,1.4652107633587548,0.22083839903806463,1.448440039065139,1.0,0.0,0.0,0.55,0.44167679807612925,0.6104191995190323,0.5,0.5,0.0,0.41666666666666663,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,3.0,0.0,0.0,0.0,0.0
2014-01-15 07:00:00+00:00,1241.118,1242.41,1235.465,1238.207,6.407860254625749,,,,,,,,,,,,,,,,,,,1.0,-1.0,,56201.0,56201.0,previous_day_low,1239.226,0.5,2014-01-15 07:00:00+00:00,3.7610000000001946,0.5869353966146779,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,0.0
2014-01-16 11:00:00+00:00,1237.583,1245.269,1236.873,1240.233,6.081456127082248,,,,,,,,,,,,,,,,,,,1.0,1.0,,63102.0,63102.0,resistance,1242.3539090909094,0.6,2014-01-16 11:00:00+00:00,2.055494571901818,0.3379938174260907,1.1956161764393034,1.0,0.0,0.0,,,,,,,,,,,,,,,,,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-01-16 23:00:00+00:00,1241.965,1243.967,1241.213,1243.797,5.390697926822059,,,2.0,63.0,,,,63101.0,63101.0,session_high,session_high,1.0,1240.158,0.45,,,,,1.0,1.0,,66102.0,66102.0,previous_day_high,1242.563,0.55,2014-01-16 23:00:00+00:00,1.0480000000000018,0.19440896415018044,2.9438202247191514,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-01-17 11:00:00+00:00,1242.63,1250.575,1237.778,1248.637,5.760527093741996,,,,,,,,,,,,,,,,,,,1.0,1.0,,69101.0,69101.0,previous_day_high,1245.269,0.6,2014-01-17 11:00:00+00:00,5.30600000000004,0.9210962666531443,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-01-19 23:00:00+00:00,1252.046,1261.134,1251.828,1255.96,6.016924571775222,,,2.0,69.0,,,,69101.0,69101.0,previous_day_high,previous_day_high|session_high|swing_high,1.0,1245.269,0.6,,,,,1.0,1.0,,72102.0,72102.0,previous_week_high,1253.987,0.6000000000000001,2014-01-19 23:00:00+00:00,6.849999999999909,1.138455355104925,23.06397306397078,1.0,1.0,0.0,,,,,,,,,,,,,,,,,3.0,3.0,,,,0.0,0.0,0.0,0.0,0.0
2014-01-21 07:00:00+00:00,1252.818,1254.308,1246.808,1247.861,5.2463058271050125,,,,,,,,,,,,,,,,,,,1.0,-1.0,,79201.0,79201.0,previous_day_low,1251.119,0.55,2014-01-21 07:00:00+00:00,4.310999999999922,0.8217210627956841,8.925465838505929,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,0.0
2014-01-22 23:00:00+00:00,1235.749,1237.553,1231.008,1234.586,5.161782774654836,1.0,-1.0,3.0,89.0,89.0,0.0,21.0,89201.0,89201.0,support,previous_week_low|support,-1.0,1234.125,0.6000000000000001,0.5833553448465686,0.0,0.0,1.0,1.0,-1.0,,89201.0,89201.0,support,1234.125,0.6000000000000001,2014-01-22 23:00:00+00:00,2.407938662102424,0.46649360641942955,1.6979762775123846,1.0,0.0,0.0,0.6000000000000001,0.9329872128388591,0.7332468032097148,0.5,0.5,0.13424568945463355,0.16666666666666663,1.0,3.0,1.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
2014-01-23 07:00:00+00:00,1237.117,1247.977,1235.958,1244.619,5.576649433248313,,,,,,,,,,,,,,,,,,,1.0,1.0,,91101.0,91101.0,previous_day_high,1243.659,0.6,2014-01-23 07:00:00+00:00,4.317999999999984,0.7743000616563438,8.287907869478783,1.0,1.0,0.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-01-23 15:00:00+00:00,1259.044,1265.484,1257.39,1264.398,6.360784460300836,,,2.0,91.0,,,,91101.0,91101.0,previous_day_high,previous_day_high|session_high,1.0,1243.659,0.6,,,,,1.0,1.0,,93101.0,93101.0,previous_week_high,1261.134,0.6000000000000001,2014-01-23 15:00:00+00:00,4.349999999999909,0.6838779127243331,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
2014-01-24 11:00:00+00:00,1259.82,1272.569,1259.459,1267.223,6.223210938185123,,,,,,,,,,,,,,,,,,,1.0,1.0,,98101.0,98101.0,previous_day_high,1265.484,0.6,2014-01-24 11:00:00+00:00,7.085000000000036,1.138479808956345,12.008474576272913,1.0,1.0,0.0,,,,,,,,,,,,,,,,,3.0,0.0,3.0,,,0.0,0.0,0.0,3.0,0.0
2014-01-26 23:00:00+00:00,1268.945,1278.33,1268.76,1272.713,6.630591265011904,,,,,,,,,,,,,,,,,,,1.0,1.0,,101101.0,101101.0,previous_day_high,1272.569,0.6,2014-01-26 23:00:00+00:00,5.760999999999967,0.8688516257063577,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,3.0,0.0,,,,0.0,0.0,0.0,3.0,0.0
2014-01-27 11:00:00+00:00,1267.035,1268.327,1257.168,1259.012,6.86629920161486,,,,,,,,,,,,,,,,,,,1.0,-1.0,,104201.0,104201.0,session_low,1259.459,0.45,2014-01-27 11:00:00+00:00,2.2910000000001673,0.33365863221651565,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,3.0,0.0,3.0,0.0,0.0
