selectivity_class,count,mean,p10,p50,p90,max
displacement_confirmed_sweep,396,0.55384091828499,0.46074087213170606,0.5512320119657532,0.656445633440647,0.7624999999999998
micro_interaction_sweep,472,0.5188790705745616,0.4474678978294865,0.516033974748253,0.5923149346784314,0.6679919732022046
standard_liquidity_sweep,1148,0.5494331410991931,0.4626336403554327,0.5459521044867424,0.6436224423556449,0.7499999999999999
tradeable_sweep_candidate,593,0.6422343476755394,0.5774675149774197,0.6381019909633889,0.7171038424600447,0.775
